rule	category	count	pct	examples
m p → ṃ p	anusvāra / nasal	5	12.5	tathā hi dūrād rūpaṃ paśyati akṣisthamañjanaṃ na paśyati rūpaṃ+paśyati · yady aprāptaviṣayaṃ cakṣuḥ kasmānna sarvam aprāptaṃ paśyati dūraṃ tiraskṛtaṃ ca kathaṃ tāvadayaskānto na sarvam aprāptam ayaḥ karṣati prāptaviṣayatve'pi caitat samānam prāptam→aprāptaṃ +paśyati · kasmānna sarvaṃ prāptaṃ paśyatyañjanaṃ śalākāṃ vā sarvaṃ+prāptaṃ · kasmānna sarvaṃ prāptaṃ paśyatyañjanaṃ śalākāṃ vā prāptaṃ+paśyati
m c → ṃ c	anusvāra / nasal	4	10.0	dūrācchabdaṃ śṛṇoti sati ca prāptaviṣayatve divyaṃ cakṣuḥśrotramiha manuṣyeṣu dhyāyināṃ nopajāyeta ghrāṇādivat divyaṃ+cakṣus · yady aprāptaviṣayaṃ cakṣuḥ kasmānna sarvam aprāptaṃ paśyati dūraṃ tiraskṛtaṃ ca kathaṃ tāvadayaskānto na sarvam aprāptam ayaḥ karṣati prāptaviṣayatve'pi caitat samānam tiraskṛtaṃ+ca · yady aprāptaviṣayaṃ cakṣuḥ kasmānna sarvam aprāptaṃ paśyati dūraṃ tiraskṛtaṃ ca kathaṃ tāvadayaskānto na sarvam aprāptam ayaḥ karṣati prāptaviṣayatve'pi caitat samānam viṣayam→aprāptaviṣayaṃ +cakṣuḥ · yathā ca ghrāṇādīnāṃ hi prāpto viṣayo na tu sarvaḥ sahabhūgandhādyagrahaṇād evaṃ cakṣuṣo 'py aprāptaḥ syāt na tu sarvaḥ evaṃ+cakṣuṣo
m t → ṃ t	anusvāra / nasal	3	7.5	yady aprāptaviṣayaṃ cakṣuḥ kasmānna sarvam aprāptaṃ paśyati dūraṃ tiraskṛtaṃ ca kathaṃ tāvadayaskānto na sarvam aprāptam ayaḥ karṣati prāptaviṣayatve'pi caitat samānam dūraṃ+tiraskṛtaṃ · yady aprāptaviṣayaṃ cakṣuḥ kasmānna sarvam aprāptaṃ paśyati dūraṃ tiraskṛtaṃ ca kathaṃ tāvadayaskānto na sarvam aprāptam ayaḥ karṣati prāptaviṣayatve'pi caitat samānam kathaṃ+tāvat · śeṣaṃ tu ghrāṇajihvākāyākhyam śeṣaṃ+tu
m n → ṃ n	anusvāra / nasal	2	5.0	tathā hi dūrād rūpaṃ paśyati akṣisthamañjanaṃ na paśyati añjanam→akṣisthamañjanaṃ +na · dūrācchabdaṃ śṛṇoti sati ca prāptaviṣayatve divyaṃ cakṣuḥśrotramiha manuṣyeṣu dhyāyināṃ nopajāyeta ghrāṇādivat dhyāyināṃ+na
m ś → ṃ ś	anusvāra / nasal	2	5.0	dūrācchabdaṃ śṛṇoti sati ca prāptaviṣayatve divyaṃ cakṣuḥśrotramiha manuṣyeṣu dhyāyināṃ nopajāyeta ghrāṇādivat śabdam→dūrācchabdaṃ +śṛṇoti · kasmānna sarvaṃ prāptaṃ paśyatyañjanaṃ śalākāṃ vā añjanam→paśyatyañjanaṃ +śalākāṃ
a ā → ā	vowel coalescence	2	5.0	dūrācchabdaṃ śṛṇoti sati ca prāptaviṣayatve divyaṃ cakṣuḥśrotramiha manuṣyeṣu dhyāyināṃ nopajāyeta ghrāṇādivat ghrāṇa+ādi→ghrāṇādivat · yathā ca ghrāṇādīnāṃ hi prāpto viṣayo na tu sarvaḥ sahabhūgandhādyagrahaṇād evaṃ cakṣuṣo 'py aprāptaḥ syāt na tu sarvaḥ ghrāṇa+ādīnām→ghrāṇādīnāṃ
i a → y a	vowel coalescence	2	5.0	yady aprāptaviṣayaṃ cakṣuḥ kasmānna sarvam aprāptaṃ paśyati dūraṃ tiraskṛtaṃ ca kathaṃ tāvadayaskānto na sarvam aprāptam ayaḥ karṣati prāptaviṣayatve'pi caitat samānam yady+a · kasmānna sarvaṃ prāptaṃ paśyatyañjanaṃ śalākāṃ vā paśyati+añjanam→paśyatyañjanaṃ
t n → n n	consonant / other	2	5.0	yady aprāptaviṣayaṃ cakṣuḥ kasmānna sarvam aprāptaṃ paśyati dūraṃ tiraskṛtaṃ ca kathaṃ tāvadayaskānto na sarvam aprāptam ayaḥ karṣati prāptaviṣayatve'pi caitat samānam kasmāt+na→kasmānna · kasmānna sarvaṃ prāptaṃ paśyatyañjanaṃ śalākāṃ vā kasmāt+na→kasmānna
aḥ n → o n	visarga	2	5.0	yady aprāptaviṣayaṃ cakṣuḥ kasmānna sarvam aprāptaṃ paśyati dūraṃ tiraskṛtaṃ ca kathaṃ tāvadayaskānto na sarvam aprāptam ayaḥ karṣati prāptaviṣayatve'pi caitat samānam ayaskāntaḥ→tāvadayaskānto +na · yathā ca ghrāṇādīnāṃ hi prāpto viṣayo na tu sarvaḥ sahabhūgandhādyagrahaṇād evaṃ cakṣuṣo 'py aprāptaḥ syāt na tu sarvaḥ viṣayo+na
t r → d r	consonant / other	1	2.5	tathā hi dūrād rūpaṃ paśyati akṣisthamañjanaṃ na paśyati dūrād+rūpaṃ
t ś → cch	consonant / other	1	2.5	dūrācchabdaṃ śṛṇoti sati ca prāptaviṣayatve divyaṃ cakṣuḥśrotramiha manuṣyeṣu dhyāyināṃ nopajāyeta ghrāṇādivat dūrāt+śabdam→dūrācchabdaṃ
s ś → ḥ ś	consonant / other	1	2.5	dūrācchabdaṃ śṛṇoti sati ca prāptaviṣayatve divyaṃ cakṣuḥśrotramiha manuṣyeṣu dhyāyināṃ nopajāyeta ghrāṇādivat cakṣus+śrotram→cakṣuḥśrotramiha
a u → o	vowel coalescence	1	2.5	dūrācchabdaṃ śṛṇoti sati ca prāptaviṣayatve divyaṃ cakṣuḥśrotramiha manuṣyeṣu dhyāyināṃ nopajāyeta ghrāṇādivat na+upajāyeta→nopajāyeta
a e → ai	vowel coalescence	1	2.5	yady aprāptaviṣayaṃ cakṣuḥ kasmānna sarvam aprāptaṃ paśyati dūraṃ tiraskṛtaṃ ca kathaṃ tāvadayaskānto na sarvam aprāptam ayaḥ karṣati prāptaviṣayatve'pi caitat samānam ca+etat→caitat
m v → ṃ v	anusvāra / nasal	1	2.5	kasmānna sarvaṃ prāptaṃ paśyatyañjanaṃ śalākāṃ vā śalākāṃ+vā
aḥ v → o v	visarga	1	2.5	yathā ca ghrāṇādīnāṃ hi prāpto viṣayo na tu sarvaḥ sahabhūgandhādyagrahaṇād evaṃ cakṣuṣo 'py aprāptaḥ syāt na tu sarvaḥ prāpto+viṣayo
aḥ api → o 'py	visarga	1	2.5	yathā ca ghrāṇādīnāṃ hi prāpto viṣayo na tu sarvaḥ sahabhūgandhādyagrahaṇād evaṃ cakṣuṣo 'py aprāptaḥ syāt na tu sarvaḥ cakṣuṣo+'py
api a → 'py a	consonant / other	1	2.5	yathā ca ghrāṇādīnāṃ hi prāpto viṣayo na tu sarvaḥ sahabhūgandhādyagrahaṇād evaṃ cakṣuṣo 'py aprāptaḥ syāt na tu sarvaḥ 'py+a
m h → ṃ h	anusvāra / nasal	1	2.5	yathā ca ghrāṇādīnāṃ hi prāpto viṣayo na tu sarvaḥ sahabhūgandhādyagrahaṇād evaṃ cakṣuṣo 'py aprāptaḥ syāt na tu sarvaḥ ādīnām→ghrāṇādīnāṃ +hi
t e → d e	consonant / other	1	2.5	yathā ca ghrāṇādīnāṃ hi prāpto viṣayo na tu sarvaḥ sahabhūgandhādyagrahaṇād evaṃ cakṣuṣo 'py aprāptaḥ syāt na tu sarvaḥ grahaṇāt→sahabhūgandhādyagrahaṇād +evaṃ
d p → t p	consonant / other	1	2.5	kecit punaḥ śrotraṃ prāptāprāptaviṣayaṃ manyante karṇābhyantare'pi śabdaśravaṇāt kecit+punaḥ
r ś → ḥ ś	consonant / other	1	2.5	kecit punaḥ śrotraṃ prāptāprāptaviṣayaṃ manyante karṇābhyantare'pi śabdaśravaṇāt punaḥ+śrotraṃ
a p → p	consonant / other	1	2.5	kecit punaḥ śrotraṃ prāptāprāptaviṣayaṃ manyante karṇābhyantare'pi śabdaśravaṇāt a+prāpta→prāptāprāptaviṣayaṃ
m m → ṃ m	anusvāra / nasal	1	2.5	kecit punaḥ śrotraṃ prāptāprāptaviṣayaṃ manyante karṇābhyantare'pi śabdaśravaṇāt viṣayam→prāptāprāptaviṣayaṃ +manyante
a a → ā	vowel coalescence	1	2.5	kecit punaḥ śrotraṃ prāptāprāptaviṣayaṃ manyante karṇābhyantare'pi śabdaśravaṇāt karṇa+abhyantare→karṇābhyantare'pi
