rule	category	count	pct	examples
a a → ā	vowel coalescence	54	5.5	śāradāṃ śāradāmbhodasitasiṃhāsanāṃ namaḥ śārada+ambhoda→śāradāmbhodasitasiṃhāsanāṃ · caurā ivātimṛdavo mahatāṃ kavīnām arthāntarāṇy api haṭhād vitaranti śabdāḥ iva+ati→ivātimṛdavo · caurā ivātimṛdavo mahatāṃ kavīnām arthāntarāṇy api haṭhād vitaranti śabdāḥ artha+antarāṇi→arthāntarāṇy · bahuvidhābhyupakārabharakṣamo bhavati ko 'pi bhavān iva sanmaṇiḥ bahuvidha+abhyupakāra→bahuvidhābhyupakārabharakṣamo
i a → y a	vowel coalescence	34	3.47	caurā ivātimṛdavo mahatāṃ kavīnām arthāntarāṇy api haṭhād vitaranti śabdāḥ antarāṇi→arthāntarāṇy +api · paṅktau viśantu gaṇitāḥ pratilomavṛttyā pūrve bhaveyur iyatāpy athavā traperan api→iyatāpy +athavā · gate tasmin bhānau tribhuvanasamunmeṣavirahavyathāṃ candro neṣyaty anucitam ato nāsty asadṛśam iṣyati→neṣyaty +anucitam · gate tasmin bhānau tribhuvanasamunmeṣavirahavyathāṃ candro neṣyaty anucitam ato nāsty asadṛśam asti→nāsty +asadṛśam
ḥ t → s t	visarga	33	3.36	yuṣmākam ambaramaṇeḥ prathame mayūkhās te maṅgalaṃ vidadhatūdayarāgabhājaḥ mayūkhās+te · etāvat tu vyathayatitarāṃ lokabāhyais tamobhis tasminn eva prakṛtimahati vyomni labdho 'vakāśaḥ tamobhis+tasminn · etāvat tu vyathayatitarāṃ lokabāhyais tamobhis tasminn eva prakṛtimahati vyomni labdho 'vakāśaḥ bāhyaiḥ→lokabāhyais +tamobhis · idaṃ cetastāpaṃ janayatitarām atra yad amī pradīpāḥ saṃjātās timirahatibaddhodhuraśikhāḥ saṃjātās+timira
t a → d a	consonant / other	29	2.96	baddhā yad arpaṇaraseṇa vimardapūrvam arthān kathaṃ jhaṭiti tān prakṛtān na dadyuḥ yad+arpaṇa · sadvṛttayaḥ sadasadarthavivekino ye te paśya kīdṛśam amuṃ samudāharanti sat+asat→sadasadarthavivekino · caurāsatīprabhṛtayo bruvate yad asya tad gṛhyate yadi kṛtaṃ tad ahaskareṇa yad+asya · caurāsatīprabhṛtayo bruvate yad asya tad gṛhyate yadi kṛtaṃ tad ahaskareṇa tad+ahaskareṇa
m t → ṃ t	anusvāra / nasal	27	2.75	kāco maṇir maṇiḥ kāco yeṣāṃ te 'nye hi dehinaḥ yeṣāṃ+te · nanv āśrayasthitir iyaṃ tava kālakūṭa kenottarottaraviśiṣṭapadopadiṣṭā iyaṃ+tava · caurāsatīprabhṛtayo bruvate yad asya tad gṛhyate yadi kṛtaṃ tad ahaskareṇa kṛtaṃ+tad · āstāṃ tāvad baka yadi tathā vetthi kiṃcicchlathāṃsas tūṣṇīm evāsitum api sakhe tvaṃ kathaṃ me na haṃsaḥ āstāṃ+tāvad
m k → ṃ k	anusvāra / nasal	25	2.55	caurā ivātimṛdavo mahatāṃ kavīnām arthāntarāṇy api haṭhād vitaranti śabdāḥ mahatāṃ+kavīnām · santi te sudhiyo yeṣāṃ kācaḥ kāco maṇir maṇiḥ yeṣāṃ+kācaḥ · āstāṃ tāvad baka yadi tathā vetthi kiṃcicchlathāṃsas tūṣṇīm evāsitum api sakhe tvaṃ kathaṃ me na haṃsaḥ tvaṃ+kathaṃ · kathaṃ kamalanālasya mā bhūvan bhaṅgurā guṇāḥ kathaṃ+kamala
m v → ṃ v	anusvāra / nasal	24	2.45	yuṣmākam ambaramaṇeḥ prathame mayūkhās te maṅgalaṃ vidadhatūdayarāgabhājaḥ maṅgalaṃ+vidadhatu · patatu vāriṇi yātu digantaraṃ viśatu vahnim atha vrajatu kṣitim digantaraṃ+viśatu · atyunnativyasaninaḥ śiraso 'dhunaiṣa svasyaiva cātakaśiśuḥ praṇayaṃ vidhattām praṇayaṃ+vidhattām · tad vaidagdhyaṃ samucitapayastoyatattvaṃ vivektuṃ saṃlāpās te sa ca mṛdupadanyāsahṛdyo vilāsaḥ tattvam→samucitapayastoyatattvaṃ +vivektuṃ
a ā → ā	vowel coalescence	21	2.14	yacchāyāchuraṇāruṇena khacatā khadyotanā khadyotanāmnāmunā kīṭenāhitayā hi jaṅgamamaṇibhrāntyā viḍambyāmahe kīṭena+āhitayā→kīṭenāhitayā · āstāṃ tāvad baka yadi tathā vetthi kiṃcicchlathāṃsas tūṣṇīm evāsitum api sakhe tvaṃ kathaṃ me na haṃsaḥ eva+āsitum→evāsitum · chinnas tṛptasuhṛt sa candanatarur yūyaṃ palāyyāgatā bhogābhyāsasukhāsikāḥ pratidinaṃ tā vismṛtās tatra vaḥ palāyya+āgatāḥ→palāyyāgatā · labdhātmaprasareṇa rakṣitum athāśakyena muktvāśāniṃ sphītas tādṛg aho ghanena ripuṇā dagdho girigrāmakaḥ labdha+ātma→labdhātmaprasareṇa
m p → ṃ p	anusvāra / nasal	19	1.94	nṛtyantaḥ śikhino manoharam amī śrāvyaṃ paṭhantaḥ śukā vīkṣyante na ta eva khalviha ruṣā vāryanta evāthavā śrāvyaṃ+paṭhantaḥ · lajjāmahe vayam upakrama eva yāntas tasyāntikaṃ parigṛhītabṛhatkuṭhārāḥ antikam→tasyāntikaṃ +parigṛhīta · chinnas tṛptasuhṛt sa candanatarur yūyaṃ palāyyāgatā bhogābhyāsasukhāsikāḥ pratidinaṃ tā vismṛtās tatra vaḥ yūyaṃ+palāyya · saṃtoṣaḥ kim aśaktatā kim athavā tasminn asaṃbhāvanā lobho vāyam utānavasthitir iyaṃ pradveṣa evāthavā iyaṃ+pradveṣa
aḥ a → o '	visarga	18	1.83	bahuvidhābhyupakārabharakṣamo bhavati ko 'pi bhavān iva sanmaṇiḥ ko+'pi · etāvat tu vyathayatitarāṃ lokabāhyais tamobhis tasminn eva prakṛtimahati vyomni labdho 'vakāśaḥ labdho+'vakāśaḥ · so 'pūrvaḥ rasanāviparyayavidhistat karṇayoś cāpalaṃ dṛṣṭiḥ sā madavismṛtasvaparadik kiṃ bhūyasoktena vā so+'pūrvaḥ · kiṃ tūccaraty eva hi so 'sya śabdaḥ śrāvyo na yo yo na sadarthaśaṃsī so+'sya
