id	type	question	answer	choices	verdict_refs	source_dataset
ZOD-0001	classify-verdict	In the dictionaries, are भगवन्त् (bhagavant) and भगवत् (bhagavat) treated as ONE lexeme with two stem spellings, or not?	one_lexeme_two_spellings	one_lexeme_two_spellings|at_only|ant_only|two_headwords	dcs-nominal-class-split:48483:one_lexeme_two_spellings	dcs-nominal-class-split
ZOD-0002	classify-verdict	In the dictionaries, are जगन्त् (jagant) and जगत् (jagat) treated as ONE lexeme with two stem spellings, or not?	at_only	one_lexeme_two_spellings|at_only|ant_only|two_headwords	dcs-nominal-class-split:164188:at_only	dcs-nominal-class-split
ZOD-0003	classify-verdict	In the dictionaries, are हनुमन्त् (hanumant) and हनुमत् (hanumat) treated as ONE lexeme with two stem spellings, or not?	one_lexeme_two_spellings	one_lexeme_two_spellings|at_only|ant_only|two_headwords	dcs-nominal-class-split:120808:one_lexeme_two_spellings	dcs-nominal-class-split
ZOD-0004	classify-verdict	In the dictionaries, are अर्हन्त् (arhant) and अर्हत् (arhat) treated as ONE lexeme with two stem spellings, or not?	one_lexeme_two_spellings	one_lexeme_two_spellings|at_only|ant_only|two_headwords	dcs-nominal-class-split:53600:one_lexeme_two_spellings	dcs-nominal-class-split
ZOD-0005	classify-verdict	In the dictionaries, are बृहन्त् (bṛhant) and बृहत् (bṛhat) treated as ONE lexeme with two stem spellings, or not?	one_lexeme_two_spellings	one_lexeme_two_spellings|at_only|ant_only|two_headwords	dcs-nominal-class-split:149087:one_lexeme_two_spellings	dcs-nominal-class-split
ZOD-0006	classify-verdict	In the dictionaries, are हिमवन्त् (himavant) and हिमवत् (himavat) treated as ONE lexeme with two stem spellings, or not?	one_lexeme_two_spellings	one_lexeme_two_spellings|at_only|ant_only|two_headwords	dcs-nominal-class-split:110100:one_lexeme_two_spellings	dcs-nominal-class-split
ZOD-0007	classify-verdict	In the dictionaries, are विवस्वन्त् (vivasvant) and विवस्वत् (vivasvat) treated as ONE lexeme with two stem spellings, or not?	one_lexeme_two_spellings	one_lexeme_two_spellings|at_only|ant_only|two_headwords	dcs-nominal-class-split:138665:one_lexeme_two_spellings	dcs-nominal-class-split
ZOD-0008	classify-verdict	In the dictionaries, are महन्त् (mahant) and महत् (mahat) treated as ONE lexeme with two stem spellings, or not?	one_lexeme_two_spellings	one_lexeme_two_spellings|at_only|ant_only|two_headwords	dcs-nominal-class-split:37545:one_lexeme_two_spellings	dcs-nominal-class-split
ZOD-0009	classify-verdict	In the dictionaries, are परावन्त् (parāvant) and परावत् (parāvat) treated as ONE lexeme with two stem spellings, or not?	at_only	one_lexeme_two_spellings|at_only|ant_only|two_headwords	dcs-nominal-class-split:170017:at_only	dcs-nominal-class-split
ZOD-0010	classify-verdict	In the dictionaries, are अंशुमन्त् (aṃśumant) and अंशुमत् (aṃśumat) treated as ONE lexeme with two stem spellings, or not?	one_lexeme_two_spellings	one_lexeme_two_spellings|at_only|ant_only|two_headwords	dcs-nominal-class-split:1165:one_lexeme_two_spellings	dcs-nominal-class-split
