lemma_slp1	hom	pwg_sense_id	pwg_gloss	pwg_loci	mw_sense_id	mw_gloss	apte_sense_id	apte_gloss	confidence	note
nAgadanta		1a	Elephantenzahn, Elfenbein H. an. 4,111 . MED. t. 203 . MBH. 12,3630	HEMACANDRA'S ANEKĀRTHASAM̃GRAHA 4,111; MEDINĪKOṢA 203; MAHĀBHĀRATA 12,3630 → vulg 12.98.19	mw:104994:1	nAga—danta m. elephant's tusk or ivory, MBh. | a peg in the wall to hang things upon, Pañc. ; Kathās.			0.99	pilot; MW/Apte columns are inventory not sense-aligned
nAgadanta		1b	Pflock in der Wand zum Anhängen von Sachen H. 1011 . H. an. MED. PAÑCAT. 116,19	HEMACANDRA'S ABHIDHĀNACINTĀMAṆI 1011; HEMACANDRA'S ANEKĀRTHASAM̃GRAHA; MEDINĪKOṢA					0.99	pilot; MW/Apte columns are inventory not sense-aligned
nAgadanta		2	f. ( adj. comp. ) N. pr. einer Apsaras R. 2,91,17	RĀMĀYAṆA. Ohne eine nähere Angabe ist be 2,91,17					0.99	pilot; MW/Apte columns are inventory not sense-aligned
nAgadanta		3a	N. einer Pflanze, Tiaridium indicum Lehm. H. an. MED. RATNAM. 35 . SUŚR. 1,138,1	HEMACANDRA'S ANEKĀRTHASAM̃GRAHA; MEDINĪKOṢA; RATNAMĀLĀ 35					0.99	pilot; MW/Apte columns are inventory not sense-aligned
nAgadanta		3b	= MED. , welches ŚKDR. und WILS. hier durch Hure erklären: aber H. an. hat statt	MEDINĪKOṢA; ŚABDAKALPADRUMA (GILD. Bibl. 371).; WILSON'S Wörterbuch (GILD. Bibl. 37).					0.99	pilot; MW/Apte columns are inventory not sense-aligned
nAgadantaka		1a	Elfenbein VARĀH. BṚH. S. 52,62	VARĀHAMIHIRA'S BṚHATSAM̃HITĀ. 52,62	mw:105000:1	nAga—dantaka m. = -danta m. , Var. ; Hit. | nAga—dantaka n. a partic. posture in Yoga , L.			0.99	pilot; MW/Apte columns are inventory not sense-aligned
nAgadantaka		1b	Pflock in der Wand zum Anhängen von Sachen AK. 3,4,31,238 . HIT. 27,12 . Schol.	AMARAKOṢA nach der Ausgabe von COLEBROOK 3,4,31,238; HITOPADEŚA 27,12; KĀTYĀYANA'S ŚRAUTASŪTRĀṆI. 26 Adhyāya. H 644,4					0.99	pilot; MW/Apte columns are inventory not sense-aligned
nAgadantaka		2	f. N. einer Pflanze, Tragia involucrata L. RATNAM. 69	RATNAMĀLĀ 69					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	10	dasein, vorhanden sein, sich vorfinden M. 8,158 . R. 2,57,29 . 4,5,10 . Spr. (II	MANU'S Gesetzbuch in der Ausg. von LOISE 8,158; RĀMĀYAṆA. Ohne eine nähere Angabe ist be 2,57,29; RĀMĀYAṆA. Ohne eine nähere Angabe ist be 4,5,10	mw:255316:1	1. sTA cl. 1. P. Ā. ( Dhātup. xxii, 30 ) ti/zWati , ˚te ( pf. tasTO/ , tasTe , RV. &amp;c. &amp;c.; aor. a/sTAt , a/sTita , ib. ; 3. pl. asTiran , RV. ; AV. ; Br. ; AsTat [?] AV. ; asTizi , ˚zata , Br. &amp;c.; Subj. sT… | sTA [ cf. Gk. ἱ-στάναι ; Lat. stare ; Lith. stóti ; Slav. stati ; Germ. stân , stehen ; Eng. stand .] | 2. sTA/ (or zWA/ ), mfn. ( nom. m. n. sTA/s ) standing, stationary (often ifc. = ‘standing, being, existing in or on or among’, cf. agni-zWA , fta-sTA &amp;c.), RV. ; PañcavBr. ; ŚāṅkhŚr. | to stand, stand firmly, station one's self, stand upon, get upon, take up a position on (with pAdAByAm , ‘to stand on the feet’; with jAnuByAm , ‘to kneel’; with agre or agratas and gen. , ‘to stand or present one's sel… | to stay, remain, continue in any condition or action ( e.g. with kanyA , ‘to remain a girl or unmarried’; with tUzRIm or with mOnena instr. ‘to remain silent’; with suKam , ‘to continue or feel well’), AV. &amp;c. &amp;… | to remain occupied or engaged in, be intent upon, make a practice of, keep on, persevere in any act (with loc. ; e.g. with rAjye , ‘to continue governing’; with SAsane , ‘to practise obedience’; with bale , ‘to exercise… | to continue to be or exist (as opp. to ‘perish’), endure, last, TS. ; Mn. ; MBh. &amp;c.; | to be, exist, be present, be obtainable or at hand, AV. &amp;c. &amp;c.; | to be with or at the disposal of, belong to ( dat. gen. , or loc. ), Mn. ; MBh. &amp;c.; | ( Ā. mc. also P. cf. Pāṇ. i, 3, 23 ; 4, 34 ) | to stand by, abide by, be near to, be on the side of, adhere or submit to, acquiesce in, serve, obey ( loc. or dat. ), RV. &amp;c. &amp;c.; | to stand still, stay quiet, remain stationary, stop, halt, wait, tarry, linger, hesitate (see under sTitvA below), RV. &amp;c. &amp;c.; | to behave or conduct one's self (with samam , ‘to behave equally towards any one’ loc. ); | to be directed to or fixed on ( loc. ), Hariv. ; Kathās. ; | to be founded or rest or depend on, be contained in ( loc. ), RV. ; AV. ; MBh. ; | to rely on, confide in ( loc. , e.g. mayi sTitvA , ‘confiding in me’), Bhaṭṭ. ; | to stay at, resort to ( acc. ), R. ; | to arise from ( abl. or gen. ), RV. ; ChUp. ; | to desist or cease from ( abl. ), Kathās. ; | to remain unnoticed (as of no importance), be left alone (only Impv. and Pot. ), Kāv. ; Pañcat. : | Pass. sTIyate ( aor. asTAyi ), to be stood &amp;c. (frequently used impers. , e.g. mayA sTIyatAm , ‘let it be abided by me’ i.e. ‘I must abide’), Br. &amp;c. &amp;c.: | Caus. sTApayati , ˚te ( aor. a/tizWipat ; ind.p. sTApayitvA [ q.v. ] and -sTA/pam : | Pass. sTApyate ), to cause to stand, place, locate, set, lay, fix, station, establish, found, institute, AV. &amp;c. &amp;c.; | to set up, erect, raise, build, MBh. ; R. ; | to cause to continue, make durable, strengthen, confirm, MBh. ; R. ; Suśr. &amp;c.; | to prop up, support, maintain, MBh. ; Hcat. ; | to affirm, assent, Sāh. ; Nyāyas. , Sch. ; | to appoint (to any office loc. ), Mn. ; MBh. &amp;c.; | to cause to be, constitute, make, appoint or employ as (two acc. ; with DAtrIm , ‘to employ any one as a nurse’; with rakzA rTam , ‘to appoint any one as guardian’; with sajjam , ‘to make anything ready’ ; with su-rakzi… | to fix, settle, determine, resolve, Mn. ; MBh. &amp;c.; | to fix in or on, lead or bring into, direct or turn towards ( loc. , rarely acc. ; with hfdi , ‘to impress on the heart’; with manas , ‘to fix the mind on’), AV. &amp;c. &amp;c.; | to introduce or initiate into, instruct in ( loc. , e.g. with naye , ‘to instruct in a plan or system’), MBh. ; Kathās. ; | to make over or deliver up to ( loc. or haste with gen. , ‘into the hands of’), Yājñ. ; Ratnāv. ; Kathās. ; | to give in marriage, MBh. ; | to cause to stand still, stop, arrest, check, hold, keep in, restrain (with badDvA , ‘to keep bound or imprisoned’), ŚBr. &amp;c. &amp;c.; | to place aside, keep, save, preserve, MBh. ; Hariv. : | Desid. of Caus. -sTApayizati (see saM-√ sTA ) : | Desid. ti/zWAsati , to wish to stand &amp;c., ŚBr. : | Intens. tezWIyate ; | tAsTeti , tAsTAti Gr.	ap90:30846:1	sTA 1 P. ( Atm. also in certain senses; tizWati-te, tasTO-tasTe , asyAt-asTita, sTAsyati-te, sTAtuM, sTita ; pass. sTIyate ; the s of this root is changed to z after a preposition ending in i or u ) | 1 To stand; calatyekena pAdena tizWatyekena budDimAn Subhāṣ. | 2 To stay, abide, dwell, live; grAme or gfhe tizWati . | 3 To remain, be left; eko gaMgadattastizWati Pt. 4. | 4 To delay, wait; kimiti sTIyate Ś. 2. | 5 To stop, cease, desist, stand still; tizWatyeza kzaRamaDipatirjyotizAM vyomamaDye V. 2. 1. | 6 To be kept aside; tizWatu tAvat patraleKAgamanavfttAMtaH K. ‘never mind the account of’ &amp;c. | 7 To be, exist, be in any state or position; often with participles; merO sTite dogDari dohadakze Ku. 1. 2 ; vyApya sTitaM rodasI V. 1. 1 ; yA sTitA vyApya viSvaM Ś. 1. 1 ; kAlaM nayamAnA tizWati Pt. 1 ; Ms. 7. 8. | 8 To abide by, conform to, obey (with loc. ); SAsane tizWa BartuH V. 5. 17 , R. 11. 65. | 9 To be restrained; yadi te tu na tizWeyurupAyEH praTamEstriBiH Ms. 7. 108. | 10 To be at hand, be obtainable; na vipraM svezu tizWatsu mftaM SUdreRa nAyayet Ms. 5. 104. | 11 To live, breathe; AH ka eza mayi sTite caMdraguptamaBiBavitumicCati Mu. 1. | 12 To stand by or near, stand at one's side, help; utsave vyasane cEva durBikze SatrusaMkawe . rAjadvAre SmaSAne ca yastizWati sa bAMDavaH .. H. 1. 73. | 13 To rest or depend on. | 14 To do, perform, occupy oneself with. | 15 ( Atm. ) To resort or go to (as an umpire), be guided by the advice of; saMSayya karRAdizu tizWate yaH Ki. 3. 14. | 16 ( Atm. ) To offer oneself to (for sexual embrace), stand as a prostitute (with dat. ); gopI smarAt kfzRAya tizWate Sk. on P. I. 4. 34. | — Caus. ( sTApayati-te ) | 1 To cause to stand. | 2 To lay, set, place, put. | 3 To found, establish. | 4 To stop. | 5 To arrest, check. | 6 To raise, erect. | 7 To cause to last or continue, make durable. | 8 To give in marriage; Māl. 10. 5. | 9 To instruct in, initiate into. | — Desid. ( tizWAsati ) To wish to stand &amp;c.	0.99	pilot; MW/Apte columns are inventory not sense-aligned
sTA	1	11a	mit act. Bed. α〉 befolgend, sich richtend nach, nachahmend; mit acc. : M. 10,127	MANU'S Gesetzbuch in der Ausg. von LOISE 10,127; MAHĀBHĀRATA 13,2029 → vulg 13.31.22; Indische Sprüche. Sanskrit und Deutsch.  4417					0.99	pilot; MW/Apte columns are inventory not sense-aligned
