rule	category	count	pct	examples
a a → ā	vowel coalescence	63	5.76	kaścit kāntāvirahaguruṇā svādhikārāt pramattaḥ śāpenāstaṃgamitamahimā varṣabhogyeṇa bhartuḥ sva+adhikārāt→svādhikārāt · kaścit kāntāvirahaguruṇā svādhikārāt pramattaḥ śāpenāstaṃgamitamahimā varṣabhogyeṇa bhartuḥ śāpena+astaṃgamita→śāpenāstaṃgamitamahimā · sa pratyagraiḥ kuṭajakusumaiḥ kalpitārghāya tasmai prītaḥ prītipramukhavacanaṃ svāgataṃ vyājahāra kalpita+arghāya→kalpitārghāya · dhūmajyotiḥsalilamarutāṃ saṃnipātaḥ kva meghaḥ saṃdeśārthāḥ kva paṭukaraṇaiḥ prāṇibhiḥ prāpaṇīyāḥ saṃdeśa+arthāḥ→saṃdeśārthāḥ
ḥ t → s t	visarga	55	5.03	ityautsukyādaparigaṇayan guhyakastaṃ yayāce kāmārtā hi prakṛtikṛpaṇāścetanācetaneṣu guhyakaḥ+tam→guhyakastaṃ · mandaṃ mandaṃ nudati pavanaścānukūlo yathā tvāṃ vāmaścāyaṃ nadati madhuraṃ cātakaste sagandhaḥ cātakaḥ+te→cātakaste · mārgaṃ tāvacchṛṇu kathayatas tvatprayāṇānurūpaṃ saṃdeśaṃ me tadanu jalada śroṣyasi śrotrapeyam kathayatas+tvad · na kṣudro 'pi prathamasukṛtāpekṣayā saṃśrayāya prāpte mitre bhavati vimukhaḥ kiṃ punar yas tathoccaiḥ yas+tathā
a u → o	vowel coalescence	48	4.39	gantavyā te vasatir alakā nāma yakṣeśvarāṇāṃ bāhyodyānasthitaharaśiraścandrikādhautaharmyā bāhya+udyāna→bāhyodyānasthitaharaśiraścandrikādhautaharmyā · kartuṃ yacca prabhavati mahīm ucchilīndhrām avandhyāṃ tacchrutvā te śravaṇasubhagaṃ garjitaṃ mānasotkāḥ mānasa+utkāḥ→mānasotkāḥ · khinnaḥ khinnaḥ śikhariṣu padaṃ nyasya gantāsi yatra kṣīṇaḥ kṣīṇaḥ parilaghu payaḥ srotasāṃ copabhujya ca+upabhujya→copabhujya · adreḥ śṛṅgaṃ harati pavanaḥ kiṃsvid ityunmukhībhir dṛṣṭotsāhaś cakitacakitaṃ mugdhasiddhāṅganābhiḥ dṛṣṭa+utsāhaḥ→dṛṣṭotsāhaś
m t → ṃ t	anusvāra / nasal	43	3.93	tenārthitvaṃ tvayi vidhivaśāddūrabandhurgato 'haṃ yācñā moghā varam adhiguṇe nādhame labdhakāmā arthitvam→tenārthitvaṃ +tvayi · saṃtaptānāṃ tvamasi śaraṇaṃ tatpayoda priyāyāḥ saṃdeśaṃ me hara dhanapatikrodhaviśleṣitasya saṃtaptānāṃ+tvam · saṃtaptānāṃ tvamasi śaraṇaṃ tatpayoda priyāyāḥ saṃdeśaṃ me hara dhanapatikrodhaviśleṣitasya śaraṇaṃ+tat · kaḥ saṃnaddhe virahavidhurāṃ tvayyupekṣeta jāyāṃ na syādanyo 'pyahamiva jano yaḥ parādhīnavṛttiḥ vidhurām→virahavidhurāṃ +tvayi
m s → ṃ s	anusvāra / nasal	41	3.75	dhūmajyotiḥsalilamarutāṃ saṃnipātaḥ kva meghaḥ saṃdeśārthāḥ kva paṭukaraṇaiḥ prāṇibhiḥ prāpaṇīyāḥ marutām→dhūmajyotiḥsalilamarutāṃ +saṃnipātaḥ · āśābandhaḥ kusumasadṛśaṃ prāyaśo hyaṅganānāṃ sadyaḥ pāti praṇayi hṛdayaṃ viprayoge ruṇaddhi aṅganānām→hyaṅganānāṃ +sadyaḥ · mārgaṃ tāvacchṛṇu kathayatas tvatprayāṇānurūpaṃ saṃdeśaṃ me tadanu jalada śroṣyasi śrotrapeyam anurūpam→tvatprayāṇānurūpaṃ +saṃdeśaṃ · adreḥ śṛṅgaṃ harati pavanaḥ kiṃsvid ityunmukhībhir dṛṣṭotsāhaś cakitacakitaṃ mugdhasiddhāṅganābhiḥ kim+svid→kiṃsvid
m p → ṃ p	anusvāra / nasal	35	3.2	meghāloke bhavati sukhino 'pyanyathāvṛtti cetaḥ kaṇṭhāśleṣapraṇayini jane kiṃ punardūrasaṃsthe kiṃ+punar · tvām ārūḍhaṃ pavanapadavīm udgṛhītālakāntāḥ prekṣiṣyante pathikavanitāḥ pratyayādāśvasantyaḥ ārūḍhaṃ+pavana · āśābandhaḥ kusumasadṛśaṃ prāyaśo hyaṅganānāṃ sadyaḥ pāti praṇayi hṛdayaṃ viprayoge ruṇaddhi sadṛśam→kusumasadṛśaṃ +prāyaśo · sthānād asmāt sarasaniculād utpatodaṅmukhaḥ khaṃ diṅnāgānāṃ pathi pariharan sthūlahastāvalepān diṅnāgānāṃ+pathi
m m → ṃ m	anusvāra / nasal	35	3.2	jātaṃ vaṃśe bhuvanavidite puṣkarāvartakānāṃ jānāmi tvāṃ prakṛtipuruṣaṃ kāmarūpaṃ maghonaḥ kāmarūpaṃ+maghonaḥ · saṃtaptānāṃ tvamasi śaraṇaṃ tatpayoda priyāyāḥ saṃdeśaṃ me hara dhanapatikrodhaviśleṣitasya saṃdeśaṃ+me · mandaṃ mandaṃ nudati pavanaścānukūlo yathā tvāṃ vāmaścāyaṃ nadati madhuraṃ cātakaste sagandhaḥ mandaṃ+mandaṃ · kartuṃ yacca prabhavati mahīm ucchilīndhrām avandhyāṃ tacchrutvā te śravaṇasubhagaṃ garjitaṃ mānasotkāḥ garjitaṃ+mānasa
m n → ṃ n	anusvāra / nasal	31	2.83	kaḥ saṃnaddhe virahavidhurāṃ tvayyupekṣeta jāyāṃ na syādanyo 'pyahamiva jano yaḥ parādhīnavṛttiḥ jāyāṃ+na · mandaṃ mandaṃ nudati pavanaścānukūlo yathā tvāṃ vāmaścāyaṃ nadati madhuraṃ cātakaste sagandhaḥ mandaṃ+nudati · mandaṃ mandaṃ nudati pavanaścānukūlo yathā tvāṃ vāmaścāyaṃ nadati madhuraṃ cātakaste sagandhaḥ ayam→vāmaścāyaṃ +nadati · khinnaḥ khinnaḥ śikhariṣu padaṃ nyasya gantāsi yatra kṣīṇaḥ kṣīṇaḥ parilaghu payaḥ srotasāṃ copabhujya padaṃ+nyasya
m k → ṃ k	anusvāra / nasal	29	2.65	jātaṃ vaṃśe bhuvanavidite puṣkarāvartakānāṃ jānāmi tvāṃ prakṛtipuruṣaṃ kāmarūpaṃ maghonaḥ prakṛtipuruṣaṃ+kāmarūpaṃ · yena śyāmaṃ vapur atitarāṃ kāntim āpatsyate te barheṇeva sphuritarucinā gopaveṣasya viṣṇoḥ atitarāṃ+kāntim · tvayyāyattaṃ kṛṣiphalam iti bhrūvikārān abhijñaiḥ prītisnigdhairjanapadavadhūlocanaiḥ pīyamānaḥ āyattam→tvayyāyattaṃ +kṛṣi · sadyaḥ sīrotkaṣaṇasurabhi kṣetram āruhya mālaṃ kiṃcit paścād vraja laghugatir bhūya evottareṇa mālaṃ+kiṃcit
m v → ṃ v	anusvāra / nasal	28	2.56	āṣāḍhasya prathamadivase meghamāśliṣṭasānuṃ vaprakrīḍāpariṇatagajaprekṣaṇīyaṃ dadarśa sānum→meghamāśliṣṭasānuṃ +vapra · sa pratyagraiḥ kuṭajakusumaiḥ kalpitārghāya tasmai prītaḥ prītipramukhavacanaṃ svāgataṃ vyājahāra svāgataṃ+vyājahāra · jātaṃ vaṃśe bhuvanavidite puṣkarāvartakānāṃ jānāmi tvāṃ prakṛtipuruṣaṃ kāmarūpaṃ maghonaḥ jātaṃ+vaṃśe · āśābandhaḥ kusumasadṛśaṃ prāyaśo hyaṅganānāṃ sadyaḥ pāti praṇayi hṛdayaṃ viprayoge ruṇaddhi hṛdayaṃ+viprayoge
a ā → ā	vowel coalescence	28	2.56	tasya sthitvā kathamapi puraḥ kautukādhānahetorantarbāṣpaściram anucaro rājarājasya dadhyau kautuka+ādhāna→kautukādhānahetorantarbāṣpaściram · meghāloke bhavati sukhino 'pyanyathāvṛtti cetaḥ kaṇṭhāśleṣapraṇayini jane kiṃ punardūrasaṃsthe megha+āloke→meghāloke · meghāloke bhavati sukhino 'pyanyathāvṛtti cetaḥ kaṇṭhāśleṣapraṇayini jane kiṃ punardūrasaṃsthe kaṇṭha+āśleṣa→kaṇṭhāśleṣapraṇayini · ityautsukyādaparigaṇayan guhyakastaṃ yayāce kāmārtā hi prakṛtikṛpaṇāścetanācetaneṣu kāma+ārtāḥ→kāmārtā
m y → ṃ y	anusvāra / nasal	23	2.1	ityautsukyādaparigaṇayan guhyakastaṃ yayāce kāmārtā hi prakṛtikṛpaṇāścetanācetaneṣu tam→guhyakastaṃ +yayāce · kartuṃ yacca prabhavati mahīm ucchilīndhrām avandhyāṃ tacchrutvā te śravaṇasubhagaṃ garjitaṃ mānasotkāḥ kartuṃ+yat · nūnaṃ yāsyaty amaramithunaprekṣaṇīyām avasthāṃ madhye śyāmaḥ stana iva bhuvaḥ śeṣavistārapāṇḍuḥ nūnaṃ+yāsyaty · utpaśyāmi drutamapi sakhe matpriyārthaṃ yiyāsoḥ kālakṣepaṃ kakubhasurabhau parvate parvate te artham→matpriyārthaṃ +yiyāsoḥ
