rule	category	count	pct	examples
a a → ā	vowel coalescence	149	5.08	sa ca adhītavidyaḥ pitṛpracchannavṛttyā deśāntaraṃ gatvā bhāgīrathītīre tapaḥ kṛtavān deśa+antaram→deśāntaraṃ · ekadā sa tapasvī gaṅgātīre japārthamupaviṣṭaḥ japa+artham→japārthamupaviṣṭaḥ · svabhartṛśuśrūṣāparayā tatpatnyā kopābhiviṣṭo nirbhartsitaḥ satpakṣihāyam uktaśca nāhaṃ balākeva tvatkopasthānam na+aham→nāhaṃ · tatra raktāktahastaṃ yamapratibhaṃ māṃsavikrayaṃ vidadhānaṃ taṃ dṛṣṭvā dṛśāmantaḥsthitaḥ rakta+akta→raktāktahastaṃ
m p → ṃ p	anusvāra / nasal	124	4.22	taṃ haridattaṃ kuputraduḥkhena pīḍitaṃ dṛṣṭvā tasya sakhā trivikramanāmā dvijaḥ svagṛhato nītinipuṇaṃ śukaṃ sārikāṃ ca gṛhītvā tadgṛhe gatvā prāha sakhe haridatta enaṃ śukaṃ sapatnīkaṃ putravattvaṃ paripālaya sapatnīkaṃ+putra · taṃ haridattaṃ kuputraduḥkhena pīḍitaṃ dṛṣṭvā tasya sakhā trivikramanāmā dvijaḥ svagṛhato nītinipuṇaṃ śukaṃ sārikāṃ ca gṛhītvā tadgṛhe gatvā prāha sakhe haridatta enaṃ śukaṃ sapatnīkaṃ putravattvaṃ paripālaya tvam→putravattvaṃ +paripālaya · athaikadā rahasi śuko madanaṃ prāha madanaṃ+prāha · sa ca tapasvī krodhākulitanetraḥ yāvadūrdhvaṃ paśyati tāvattatkrodhāgninā bhasmībhūtāṃ balākāṃ bhūmau patitāṃ dṛṣṭvā balākāṃ dagdhvā nārāyaṇadvijagṛhe bhikṣārthaṃ yayau ūrdhvam→yāvadūrdhvaṃ +paśyati
m c → ṃ c	anusvāra / nasal	116	3.95	taṃ haridattaṃ kuputraduḥkhena pīḍitaṃ dṛṣṭvā tasya sakhā trivikramanāmā dvijaḥ svagṛhato nītinipuṇaṃ śukaṃ sārikāṃ ca gṛhītvā tadgṛhe gatvā prāha sakhe haridatta enaṃ śukaṃ sapatnīkaṃ putravattvaṃ paripālaya sārikāṃ+ca · tadanantaraṃ sa ca vyādhaṃ jñānakāraṇaṃ papraccha kathaṃ satī jñānavatī kathaṃ ca tvaṃ jñānavān kathaṃ+ca · ahaṃ sāpi ca evaṃ jñāninau tvaṃ ca nijapitarau parityajya bhramanmādṛśāṃ na sambhāṣaṇārhaḥ tvaṃ+ca · evamuktaḥ sa madanaḥ pitarau namaskṛtya tadanujñāto bhāryāṃ cāpṛcchya pravahaṇam adhirūḍhavān gato deśāntaram bhāryāṃ+ca
m n → ṃ n	anusvāra / nasal	98	3.34	asti candrapuraṃ nāma nagaram candrapuraṃ+nāma · madanavinodastu atīvaviṣayāsaktaḥ kuputraḥ pituḥ śikṣāṃ na śṛṇoti śikṣāṃ+na · sa prāha kathametat śuka āha asti pañcapuraṃ nāma nagaram pañcapuraṃ+nāma · sa ca pracchannapātakajñānādbhīto vismitaśca preṣitaśca tayā dharmavyādhapārśva vārāṇasīṃ nagarīṃ yayau vārāṇasīṃ+nagarīṃ
m k → ṃ k	anusvāra / nasal	93	3.17	vacmi cetovinodārthamuddhāraṃ kīrasammateḥ uddhāram→cetovinodārthamuddhāraṃ +kīra · kumārgacāriṇaṃ taṃ kuputraṃ dṛṣṭvā tatpitā haridattaḥ sapatnīkaḥ atīva duḥkhitaḥ saṃjātaḥ taṃ+ku · taṃ haridattaṃ kuputraduḥkhena pīḍitaṃ dṛṣṭvā tasya sakhā trivikramanāmā dvijaḥ svagṛhato nītinipuṇaṃ śukaṃ sārikāṃ ca gṛhītvā tadgṛhe gatvā prāha sakhe haridatta enaṃ śukaṃ sapatnīkaṃ putravattvaṃ paripālaya haridattaṃ+ku · śuka uvāca yuktamidaṃ kartavyameva paraṃ duṣkaraṃ ninditaṃ ca kulastrīṇām idam→yuktamidaṃ +kartavyam
m s → ṃ s	anusvāra / nasal	88	3.0	taṃ haridattaṃ kuputraduḥkhena pīḍitaṃ dṛṣṭvā tasya sakhā trivikramanāmā dvijaḥ svagṛhato nītinipuṇaṃ śukaṃ sārikāṃ ca gṛhītvā tadgṛhe gatvā prāha sakhe haridatta enaṃ śukaṃ sapatnīkaṃ putravattvaṃ paripālaya śukaṃ+sārikāṃ · taṃ haridattaṃ kuputraduḥkhena pīḍitaṃ dṛṣṭvā tasya sakhā trivikramanāmā dvijaḥ svagṛhato nītinipuṇaṃ śukaṃ sārikāṃ ca gṛhītvā tadgṛhe gatvā prāha sakhe haridatta enaṃ śukaṃ sapatnīkaṃ putravattvaṃ paripālaya śukaṃ+sapatnīkaṃ · vyādhena svāgatapraśnapūrvakaṃ svagṛhaṃ nītvā nijapitarau sabhaktikaṃ bhojayitvā paścāttasya bhojanaṃ dattam pūrvakam→svāgatapraśnapūrvakaṃ +sva · tadanantaraṃ sa ca vyādhaṃ jñānakāraṇaṃ papraccha kathaṃ satī jñānavatī kathaṃ ca tvaṃ jñānavān kathaṃ+satī
m v → ṃ v	anusvāra / nasal	86	2.93	tatra raktāktahastaṃ yamapratibhaṃ māṃsavikrayaṃ vidadhānaṃ taṃ dṛṣṭvā dṛśāmantaḥsthitaḥ vikrayam→māṃsavikrayaṃ +vidadhānaṃ · evamuktaḥ sa brāhmaṇo vinayaparaṃ vyādhaṃ papraccha param→vinayaparaṃ +vyādhaṃ · tatastāsāṃ vacanena puruṣāntarasya guṇacandrasaṃjñasya ramaṇāya śṛṅgāraṃ vidhāya yāvatpracalitā tāvatsārikayā mā gacchetyādivacanairnirbhartsitā śṛṅgāraṃ+vidhāya · tatastāsāṃ vacanena puruṣāntarasya guṇacandrasaṃjñasya ramaṇāya śṛṅgāraṃ vidhāya yāvatpracalitā tāvatsārikayā mā gacchetyādivacanairnirbhartsitā tāsām→tatastāsāṃ +vacanena
m m → ṃ m	anusvāra / nasal	73	2.49	tatra raktāktahastaṃ yamapratibhaṃ māṃsavikrayaṃ vidadhānaṃ taṃ dṛṣṭvā dṛśāmantaḥsthitaḥ pratibham→yamapratibhaṃ +māṃsa · paramatithiṃ matvā jalpitaḥ atithim→paramatithiṃ +matvā · sthirībhūya tvayā paścāt śrāvyeyaṃ mahatī kathā iyam→śrāvyeyaṃ +mahatī · tataḥ śakaṭaṃ mārgayitvā sabhāryakaḥ sa calitaḥ śakaṭaṃ+mārgayitvā
a ā → ā	vowel coalescence	70	2.39	sa ca tapasvī krodhākulitanetraḥ yāvadūrdhvaṃ paśyati tāvattatkrodhāgninā bhasmībhūtāṃ balākāṃ bhūmau patitāṃ dṛṣṭvā balākāṃ dagdhvā nārāyaṇadvijagṛhe bhikṣārthaṃ yayau krodha+ākulita→krodhākulitanetraḥ · evamuktaḥ sa madanaḥ pitarau namaskṛtya tadanujñāto bhāryāṃ cāpṛcchya pravahaṇam adhirūḍhavān gato deśāntaram ca+āpṛcchya→cāpṛcchya · kautukānveṣiṇo nityaṃ durjanā vyasanāgame vyasana+āgame→vyasanāgame · papraccha sā tadā sārdhaṃ puṃścalībhiḥ kṛtādarā kṛta+ādarā→kṛtādarā
m d → ṃ d	anusvāra / nasal	65	2.21	praṇamya śāradāṃ devīṃ divyavijñānaśālinīm śāradāṃ+devīṃ · praṇamya śāradāṃ devīṃ divyavijñānaśālinīm devīṃ+divya · kumārgacāriṇaṃ taṃ kuputraṃ dṛṣṭvā tatpitā haridattaḥ sapatnīkaḥ atīva duḥkhitaḥ saṃjātaḥ putram→kuputraṃ +dṛṣṭvā · taṃ haridattaṃ kuputraduḥkhena pīḍitaṃ dṛṣṭvā tasya sakhā trivikramanāmā dvijaḥ svagṛhato nītinipuṇaṃ śukaṃ sārikāṃ ca gṛhītvā tadgṛhe gatvā prāha sakhe haridatta enaṃ śukaṃ sapatnīkaṃ putravattvaṃ paripālaya pīḍitaṃ+dṛṣṭvā
