rule	category	count	pct	examples
a a → ā	vowel coalescence	56	5.66	kṣipto hastāvalagnaḥ prasabham abhihato 'py ādadāno 'ṃśukāntaṃ gṛhṇan keśeṣvapāstaścaraṇanipatito nekṣitaḥ sambhrameṇa hasta+avalagnaḥ→hastāvalagnaḥ · āliṅgan yo 'vadhūtas tripurayuvatibhiḥ sāśrunetrotpalābhiḥ kāmīvārdrāparādhaḥ sa dahatu duritaṃ śāmbhavo vaḥ śarāgniḥ sa+aśru→sāśrunetrotpalābhiḥ · āliṅgan yo 'vadhūtas tripurayuvatibhiḥ sāśrunetrotpalābhiḥ kāmīvārdrāparādhaḥ sa dahatu duritaṃ śāmbhavo vaḥ śarāgniḥ śara+agniḥ→śarāgniḥ · ālolām alakāvalīṃ vilulitāṃ bibhraccalatkuṇḍalaṃ kiṃcin mṛṣṭaviśeṣakaṃ tanutaraiḥ khedāmbhasāṃ śīkaraiḥ kheda+ambhasām→khedāmbhasāṃ
m p → ṃ p	anusvāra / nasal	54	5.46	parityaktaṃ sarvaṃ hasitapaṭhitaṃ pañjaraśukais tavāvasthā ceyaṃ visṛja kaṭhine mānamadhunā paṭhitam→hasitapaṭhitaṃ +pañjara · nāryastanvi haṭhāddharanti ramaṇaṃ tiṣṭhanti no vāritās tatkiṃ tāmyasi kiṃ ca rodiṣi mudhā tāsāṃ priyaṃ mā kṛthāḥ tāsāṃ+priyaṃ · kopāt komalalolabāhulatikāpāśena baddhā dṛḍhaṃ nītvā keliniketanaṃ dayitayā sāyaṃ sakhīnāṃ puraḥ sakhīnāṃ+puraḥ · iti dinaśataprāpyaṃ deśaṃ priyasya yiyāsato harati gamanaṃ bālālāpaiḥ sabāṣpagalajjalaiḥ deśaṃ+priyasya
m v → ṃ v	anusvāra / nasal	40	4.04	tanvyā yat suratāntatāntanayanaṃ vaktraṃ rativyatyaye tattvāṃ pātu cirāya kiṃ hariharabrahmādibhirdaivataiḥ nayanam→suratāntatāntanayanaṃ +vaktraṃ · hṛdayanihitaṃ bhāvākūtaṃ vamadbhirivekṣaṇaiḥ kathaya sukṛtī ko 'yaṃ mugdhe tvayādya vilokyate bhāvākūtaṃ+vamadbhiḥ · datto'syāḥ praṇayastvayaiva bhavatā ceyaṃ ciraṃ lālitā daivād adya kila tvameva kṛtavān asyā navaṃ vipriyam navaṃ+vipriyam · parityaktaṃ sarvaṃ hasitapaṭhitaṃ pañjaraśukais tavāvasthā ceyaṃ visṛja kaṭhine mānamadhunā iyam→ceyaṃ +visṛja
a ā → ā	vowel coalescence	37	3.74	alasavalitaiḥ premārdrārdrair muhurmukulīkṛtaiḥ kṣaṇam abhimukhair lajjālolair nimeṣaparāṅmukhaiḥ prema+ārdra→premārdrārdrair · iti dinaśataprāpyaṃ deśaṃ priyasya yiyāsato harati gamanaṃ bālālāpaiḥ sabāṣpagalajjalaiḥ bāla+ālāpaiḥ→bālālāpaiḥ · ekatrāsanasaṃsthitiḥ parihatā pratyudgamād dūratas tāmbūlānayanacchalena rabhasāśleṣo'pi saṃvighnitaḥ ekatra+āsana→ekatrāsanasaṃsthitiḥ · ekatrāsanasaṃsthitiḥ parihatā pratyudgamād dūratas tāmbūlānayanacchalena rabhasāśleṣo'pi saṃvighnitaḥ tāmbūla+ānayana→tāmbūlānayanacchalena
ḥ t → s t	visarga	35	3.54	datto'syāḥ praṇayastvayaiva bhavatā ceyaṃ ciraṃ lālitā daivād adya kila tvameva kṛtavān asyā navaṃ vipriyam praṇayaḥ+tvayā→praṇayastvayaiva · parityaktaṃ sarvaṃ hasitapaṭhitaṃ pañjaraśukais tavāvasthā ceyaṃ visṛja kaṭhine mānamadhunā śukaiḥ→pañjaraśukais +te · nāryastanvi haṭhāddharanti ramaṇaṃ tiṣṭhanti no vāritās tatkiṃ tāmyasi kiṃ ca rodiṣi mudhā tāsāṃ priyaṃ mā kṛthāḥ vāritās+tat · nāryastanvi haṭhāddharanti ramaṇaṃ tiṣṭhanti no vāritās tatkiṃ tāmyasi kiṃ ca rodiṣi mudhā tāsāṃ priyaṃ mā kṛthāḥ nāryaḥ+tanvi→nāryastanvi
m k → ṃ k	anusvāra / nasal	34	3.44	ālolām alakāvalīṃ vilulitāṃ bibhraccalatkuṇḍalaṃ kiṃcin mṛṣṭaviśeṣakaṃ tanutaraiḥ khedāmbhasāṃ śīkaraiḥ kuṇḍalam→bibhraccalatkuṇḍalaṃ +kiṃcin · yātāḥ kiṃ na milanti sundari punaścintā tvayā matkṛte no kāryā nitarāṃ kṛśāmi kathayatyevaṃ sabāṣpe mayi nitarāṃ+kṛśāmi · ajñānena parāṅmukhīṃ paribhavād āśliṣya māṃ duḥkhitāṃ kiṃ labdhaṃ caṭula tvayeha nayatā saubhāgyametāṃ daśām duḥkhitāṃ+kiṃ · paśyāmo mayi kiṃ prapadyata iti sthairyaṃ mayālambitaṃ kiṃ māmālapatītyayaṃ khalu śaṭhaḥ kopastayāpyāśritaḥ ālambitam→mayālambitaṃ +kiṃ
m n → ṃ n	anusvāra / nasal	30	3.03	manyurduḥsaha eṣa yātyupaśamaṃ no sāntvavādaiḥ sphuṭaṃ he nistraṃśa vimuktakaṇṭhakaruṇaṃ tāvatsakhī roditu upaśamam→yātyupaśamaṃ +no · kāntaḥ keliruciryuvā sahṛdayastādṛkpatiḥ kātare kiṃ no barkarakarkaraiḥ priyaśatairākramya vikrīyate kiṃ+no · kopāt komalalolabāhulatikāpāśena baddhā dṛḍhaṃ nītvā keliniketanaṃ dayitayā sāyaṃ sakhīnāṃ puraḥ dṛḍhaṃ+nītvā · yātāḥ kiṃ na milanti sundari punaścintā tvayā matkṛte no kāryā nitarāṃ kṛśāmi kathayatyevaṃ sabāṣpe mayi kiṃ+na
m m → ṃ m	anusvāra / nasal	28	2.83	nāryastanvi haṭhāddharanti ramaṇaṃ tiṣṭhanti no vāritās tatkiṃ tāmyasi kiṃ ca rodiṣi mudhā tāsāṃ priyaṃ mā kṛthāḥ priyaṃ+mā · paśyāmo mayi kiṃ prapadyata iti sthairyaṃ mayālambitaṃ kiṃ māmālapatītyayaṃ khalu śaṭhaḥ kopastayāpyāśritaḥ sthairyaṃ+mayā · paśyāmo mayi kiṃ prapadyata iti sthairyaṃ mayālambitaṃ kiṃ māmālapatītyayaṃ khalu śaṭhaḥ kopastayāpyāśritaḥ kiṃ+mām · ityanyonyavilakṣadṛṣṭicature tasminnavasthāntare savyājaṃ hasitaṃ mayā dhṛtiharo bāṣpastu muktastayā hasitaṃ+mayā
m t → ṃ t	anusvāra / nasal	26	2.63	ālolām alakāvalīṃ vilulitāṃ bibhraccalatkuṇḍalaṃ kiṃcin mṛṣṭaviśeṣakaṃ tanutaraiḥ khedāmbhasāṃ śīkaraiḥ viśeṣakam→mṛṣṭaviśeṣakaṃ +tanutaraiḥ · manyurduḥsaha eṣa yātyupaśamaṃ no sāntvavādaiḥ sphuṭaṃ he nistraṃśa vimuktakaṇṭhakaruṇaṃ tāvatsakhī roditu karuṇam→vimuktakaṇṭhakaruṇaṃ +tāvat · nāryastanvi haṭhāddharanti ramaṇaṃ tiṣṭhanti no vāritās tatkiṃ tāmyasi kiṃ ca rodiṣi mudhā tāsāṃ priyaṃ mā kṛthāḥ ramaṇaṃ+tiṣṭhanti · nāryastanvi haṭhāddharanti ramaṇaṃ tiṣṭhanti no vāritās tatkiṃ tāmyasi kiṃ ca rodiṣi mudhā tāsāṃ priyaṃ mā kṛthāḥ kim→tatkiṃ +tāmyasi
m s → ṃ s	anusvāra / nasal	25	2.53	parityaktaṃ sarvaṃ hasitapaṭhitaṃ pañjaraśukais tavāvasthā ceyaṃ visṛja kaṭhine mānamadhunā parityaktaṃ+sarvaṃ · kopāt komalalolabāhulatikāpāśena baddhā dṛḍhaṃ nītvā keliniketanaṃ dayitayā sāyaṃ sakhīnāṃ puraḥ sāyaṃ+sakhīnāṃ · yātāḥ kiṃ na milanti sundari punaścintā tvayā matkṛte no kāryā nitarāṃ kṛśāmi kathayatyevaṃ sabāṣpe mayi evam→kathayatyevaṃ +sa · kāñcyā gāḍhatarāvaruddhavasanaprāntā kimarthaṃ punar mugdhākṣī svapitīti tatparijanaṃ svairaṃ priye pṛcchati parijanam→tatparijanaṃ +svairaṃ
