lemma_slp1	example_slp1	example_sa	example_ru	example_work	example_passage	example_kind
A	A	ā	взяв	01_mahabharata-adiparva	1.6.1-8	translation
ABA	ABA	ābhā	Похожее	02_ramayana-ayodhyakanda	84.2	translation
ABAs	AbaBAse	ābabhāse	прояснилось	raghuvamsha	7.68-70	translation
ABAsa	ABAsAm	ābhāsām	сияющем	02_ramayana-ayodhyakanda	92.36	translation
ABAsana	ABAsana	ābhāsana	проявление	pratyabhijna-hridaya_kshemaraja	1.1.11	translation
ABAsi	ABAsanA	ābhāsanā	излучается	gitarthasamgraha-abhinavagupta	15.15	translation
ABAsvara	ABAsvara	ābhāsvara	абхасвара	buddhacharita	12.53	translation
ABAz	ABAzya	ābhāṣya	сказав	02_ramayana-ayodhyakanda	3.38	translation
ABAza	ABAzam	ābhāṣam	говорящему	03_ramayana-aranyakanda	20.12	translation
ABIra	ABIra	ābhīra	абхира	manavadharmashastra	10.15	translation
ABIraka	ABIraka	ābhīraka	жители Абхиры	kama-sutra	5.6.30	translation
ABU	ABUt	ābhūt	было	03_ramayana-aranyakanda	9.5	translation
ABUka	ABUkam	ābhūkam	бессильного	06_atharvaveda	29.3	translation
ABUti	ABUtyA	ābhūtyā	с успехом	10_rigveda	84.6	translation
ABUz	ABUzantIH	ābhūṣantīḥ	внимательны	01_rigveda	43.9	translation
ABUzeRya	ABUzeRya	ābhūṣeṇya	достойно почитания	05_rigveda	55.4	translation
ABa	ABa	ābha	похожих	02_ramayana-ayodhyakanda	6.11	translation
ABaga	ABagaH	ābhagaḥ	участник	01_rigveda	136.4	translation
ABaj	ABAgya	ābhāgya	несчастной	03_ramayana-aranyakanda	52.4	translation
ABara	ABara	ā bhara	Принеси	01_rigveda	81.7	translation
ABaraRa	ABaraRa	ābharaṇa	уборе	01_mahabharata-adiparva	1.9.11	translation
ABf	ABftAH	ābhṛtāḥ	принесены	01_atharvaveda	6.4	translation
ABijana	ABijana	ābhijana	по происхождению	05_mahabharata-udyogaparva	5.149.11-17	translation
ABimAnika	ABimAnikena	ābhimānikena	желанным	kama-sutra	2.1.12	translation
ABiyogika	ABiyogika	ābhiyogika	вызывающие	kama-sutra	2.3.31	translation
ABizecanika	ABizecanika	ābhiṣecanika	о посвящении	01_mahabharata-adiparva	1.2.60-65	translation
ABoga	ABoga	ābhoga	эхо	02_ramayana-ayodhyakanda	65.3	translation
ABogi	ABogaya	ābhogaya	пищи	01_rigveda	110.2	translation
ABra	ABram	ābhram	подобное	03_ramayana-aranyakanda	52.19	translation
ABu	ABU	ābhū	с помощью союзников	01_rigveda	51.9	translation
ABuj	ABugnam	ābhugnam	изогнутым	raghuvamsha	1.82-85	translation
AByAsika	AByAsika	ābhyāsika	постигаемый обучением	kama-sutra	2.6.21	translation
AByantara	AByantara	ābhyantara	горожане	02_ramayana-ayodhyakanda	2.51	translation
AByantarika	AByantarikA	ābhyantarikā	живущих у него	kama-sutra	4.2.61	translation
ADA	AdaDe	ādadhe	вложила	01_atharvaveda	28.3	translation
ADAna	ADAna	ādhāna	сбор	manavadharmashastra	2.176	translation
ADArADeyaBAva	ADArADeyaBAva	ādhārādheyabhāva	отношение поддерживающего и поддерживаемого начал	vedartha-samgraha_ramanuja	76	translation
ADAra	ADAra	ādhāra	вдохновенья	01_ramayana-balakanda	4.26	translation
ADAracakra	ADAracakra	ādhāracakra	чакры опоры	devi-gita	5.46	translation
ADArakArikA	ADArakArikA	ādhārakārikā	Адхара-карикой	paramarthasara-abhinavagupta	3	translation
ADAraka	ADAraka	ādhāraka	черепахе, поддерживающей	hatha-yoga-pradipika	1.10	translation
ADArarUpA	ADArarUpa	ādhārarūpa	ожерелье	03_mahabharata-aranyakaparva	3.112.1-7	translation
ADAratva	ADAratva	ādhāratva	поддерживающим	vedartha-samgraha_ramanuja	106	translation
ADAv	ADAvat	ādhāvat	напал	08_mahabharata-karnaparva	8.59.38-45	translation
ADI	ADyo	ādhyo	заботы	01_rigveda	105.7	translation
ADIparRa	ADIparRa	ādhīparṇa	оперенную тоской	03_atharvaveda	25.2	translation
ADU	ADUta	ādhūta	подвергнутый	01_ramayana-balakanda	65.3	translation
ADarmika	ADarmika	ādharmika	нечестивый	manavadharmashastra	4.60	translation
ADava	ADave	ādhave	сосуде для смешивания	01_rigveda	141.3	translation
ADeya	ADeya	ādheya	поддерживается	vedartha-samgraha_ramanuja	76	translation
ADfz	ADfze	ādhṛṣe	натиску	01_rigveda	39.4	translation
ADi	ADi	ādhi	залог	manavadharmashastra	8.144	translation
ADikya	ADikya	ādhikya	успех	manavadharmashastra	7.169	translation
ADipatya	ADipatya	ādhipatya	царство	03_mahabharata-aranyakaparva	3.5.11-15	translation
