slp1	hom	sense_id	lemma	locus	cite	conf	method	rights	source	gloss	reason
nAgadanta		?	nāgadanta	lemma:33045		0.0	unassigned	public	DCS	elephant's tusk or ivory; a peg in the wall to hang things upon; name of a son o	no locus/overlap candidate — residue for LLM/human pass
nAgadantaka		?	nāgadantaka	lemma:211639		0.0	unassigned	public	DCS	= nāgadanta	no locus/overlap candidate — residue for LLM/human pass
sTA	1	15	sthā	Vaikhānasadharmasūtra, VaikhDhS, 1, 3, 3	dcs:100010	0.5	overlap	public	DCS	to stand; to station one's self; to get upon; to stay; to remain; to be intent u	confidence<tau
sTA	1	15	sthā	Vaikhānasadharmasūtra, VaikhDhS, 1, 3, 5	dcs:100012	0.5	overlap	public	DCS	to stand; to station one's self; to get upon; to stay; to remain; to be intent u	confidence<tau
sTA	1	15	sthā	Vaikhānasadharmasūtra, VaikhDhS, 1, 3, 6	dcs:100013	0.5	overlap	public	DCS	to stand; to station one's self; to get upon; to stay; to remain; to be intent u	confidence<tau
sTA	1	?	sthā	lemma:213360		0.0	unassigned	public	DCS	[gramm.] the root sthā	no locus/overlap candidate — residue for LLM/human pass
sTA	1	?	sthā	lemma:215014		0.0	unassigned	public	DCS	[gramm.] root sthā	no locus/overlap candidate — residue for LLM/human pass
sTA	1	?	sthā	lemma:218776		0.0	unassigned	public	DCS	standing; straff (Z￼gel)	no locus/overlap candidate — residue for LLM/human pass
han	1	?	han	lemma:157282		0.0	unassigned	public	DCS	to strike; to beat; to pound; to hammer; to strike upon; to smite; to slay; to h	no locus/overlap candidate — residue for LLM/human pass
han	1	?	han	lemma:166068		0.0	unassigned	public	DCS	killing; destroying	no locus/overlap candidate — residue for LLM/human pass
han	1	?	han	lemma:213358		0.0	unassigned	public	DCS	[gramm.] the root han	no locus/overlap candidate — residue for LLM/human pass
amfta		1a	amṛta	Rasādhyāya, RAdhy, 1, 315	dcs:101046	0.5	overlap	public	DCS	not dead; immortal; imperishable; beautiful; beloved; nicht kalziniert; [alchemy	confidence<tau
amfta		1a	amṛta	Vārāhagṛhyasūtra, VārGS, 5, 28	dcs:102364	0.5	overlap	public	DCS	not dead; immortal; imperishable; beautiful; beloved; nicht kalziniert; [alchemy	confidence<tau
amfta		1a	amṛta	Skandapurāṇa, SkPur, 23, 55	dcs:107239	0.5	overlap	public	DCS	not dead; immortal; imperishable; beautiful; beloved; nicht kalziniert; [alchemy	confidence<tau
amfta		1c	amṛta	Vaikhānasadharmasūtra, VaikhDhS, 1, 9, 14	dcs:100057	0.5	overlap	public	DCS	collective body of immortals; world of immortality; heaven; eternity; immortalit	confidence<tau
amfta		1c	amṛta	Rasādhyāya, RAdhy, 1, 383	dcs:101183	0.5	overlap	public	DCS	collective body of immortals; world of immortality; heaven; eternity; immortalit	confidence<tau
amfta		1c	amṛta	Rasādhyāya, RAdhy, 1, 455	dcs:101327	0.5	overlap	public	DCS	collective body of immortals; world of immortality; heaven; eternity; immortalit	confidence<tau
siD	2	?	sidh	lemma:158145		0.0	unassigned	public	DCS	to drive off; to scare away; to repel; to restrain; to hinder; to punish; to cha	no locus/overlap candidate — residue for LLM/human pass
vftta		?	vṛtta	lemma:142747		0.0	unassigned	public	DCS	turned; set in motion (as a wheel); round; rounded; circular; occurred; happened	no locus/overlap candidate — residue for LLM/human pass
vftta		?	vṛtta	lemma:166118		0.0	unassigned	public	DCS	a kind of plant; a tortoise; name of a Nāga	no locus/overlap candidate — residue for LLM/human pass
vftta		?	vṛtta	lemma:170862		0.0	unassigned	public	DCS	behavior; acting; act; daily routine; Stahl	no locus/overlap candidate — residue for LLM/human pass
viS	1	?	viś	lemma:138709		0.0	unassigned	public	DCS	a settlement; homestead; house; dwelling; a community; tribe; race (also "subjec	no locus/overlap candidate — residue for LLM/human pass
viS	1	?	viś	lemma:138711		0.0	unassigned	public	DCS	feces	no locus/overlap candidate — residue for LLM/human pass
viS	1	?	viś	lemma:157330		0.0	unassigned	public	DCS	to enter; to enter in or settle down on; to go into; to pervade; to enter (a hou	no locus/overlap candidate — residue for LLM/human pass
koSa		1q	kośa	Mahābhārata, MBh, 12, 134, 6	dcs:285488	0.5	overlap	public	DCS	the penis; an egg; (in Vedānta phil.) a term for the three sheaths or succession	confidence<tau
koSa		1q	kośa	Mugdhāvabodhinī, MuA zu RHT, 1, 7.2, 5	dcs:328071	0.5	overlap	public	DCS	the penis; an egg; (in Vedānta phil.) a term for the three sheaths or succession	confidence<tau
koSa		1q	kośa	Mugdhāvabodhinī, MuA zu RHT, 1, 7.2, 6	dcs:328073	0.5	overlap	public	DCS	the penis; an egg; (in Vedānta phil.) a term for the three sheaths or succession	confidence<tau
kAla	1	?	kāla	lemma:22581		0.0	unassigned	public	DCS	black; of a dark colour; dark-blue	no locus/overlap candidate — residue for LLM/human pass
kAla	1	?	kāla	lemma:22761		0.0	unassigned	public	DCS	time; the proper time or season for; eine Essenszeit; a spot; tense	no locus/overlap candidate — residue for LLM/human pass
kfzRa		?	kṛṣṇa	lemma:4072		0.0	unassigned	public	DCS	black; dark; dark-blue; wicked; evil	no locus/overlap candidate — residue for LLM/human pass
citra		2c	citra	Amaruśataka, AmaruŚ, 1, 68	dcs:102985	0.5	overlap	public	DCS	anything bright or coloured which strikes the eyes; a brilliant ornament; orname	confidence<tau
citra		2c	citra	Rasārṇava, RArṇ, 12, 367	dcs:110240	0.5	overlap	public	DCS	anything bright or coloured which strikes the eyes; a brilliant ornament; orname	confidence<tau
citra		2c	citra	Rāmāyaṇa, Rām, Ay, 83, 18	dcs:120656	0.5	overlap	public	DCS	anything bright or coloured which strikes the eyes; a brilliant ornament; orname	confidence<tau
citra		?	citra	lemma:51427		0.0	unassigned	public	DCS	in different ways; (to execute) with different tortures; conspicuous; excellent;	no locus/overlap candidate — residue for LLM/human pass
puzkara		8	puṣkara	Vārāhagṛhyasūtra, VārGS, 9, 11	dcs:102524	0.5	overlap	public	DCS	a blue lotus-flower; a lotus; Nelumbium Speciosum or Nymphaea Nelumbo; the bowl 	confidence<tau
puzkara		8	puṣkara	Rāmāyaṇa, Rām, Bā, 60, 3	dcs:115226	0.5	overlap	public	DCS	a blue lotus-flower; a lotus; Nelumbium Speciosum or Nymphaea Nelumbo; the bowl 	confidence<tau
puzkara		8	puṣkara	Rāmāyaṇa, Rām, Bā, 60, 4	dcs:115228	0.5	overlap	public	DCS	a blue lotus-flower; a lotus; Nelumbium Speciosum or Nymphaea Nelumbo; the bowl 	confidence<tau
gam	1	?	gam	lemma:156214		0.0	unassigned	public	DCS	to go; to move; to approach; to understand; to reside (as a disease); to elapse 	no locus/overlap candidate — residue for LLM/human pass
gam	1	?	gam	lemma:213357		0.0	unassigned	public	DCS	[gramm.] the root gam; the earth	no locus/overlap candidate — residue for LLM/human pass
Badra		4b	bhadra	Skandapurāṇa, SkPur, 10, 10	dcs:105729	0.5	overlap	public	DCS	prosperity; happiness; health; welfare; good fortune; gold; iron or steel; a kin	confidence<tau
Badra		4b	bhadra	Rasārṇava, RArṇ, 10, 58	dcs:109045	0.5	overlap	public	DCS	prosperity; happiness; health; welfare; good fortune; gold; iron or steel; a kin	confidence<tau
Badra		4b	bhadra	Suśrutasaṃhitā, Su, Ka., 7, 23	dcs:11268	0.5	overlap	public	DCS	prosperity; happiness; health; welfare; good fortune; gold; iron or steel; a kin	confidence<tau
Badra		?	bhadra	lemma:48731		0.0	unassigned	public	DCS	blessed; auspicious; happy; good; friendly; fair; lovely; skilful in; great; luc	no locus/overlap candidate — residue for LLM/human pass
Sukla		?	śukla	lemma:126285		0.0	unassigned	public	DCS	bright; light; whitish; pure; unsullied	no locus/overlap candidate — residue for LLM/human pass
go		?	go	lemma:166386		0.0	unassigned	public	DCS	an ox; cattle; a herd of cattle; milk; flesh; skin; hide; leather; bow-string; s	no locus/overlap candidate — residue for LLM/human pass
gOra		5d	gaura	Skandapurāṇa, SkPur, 13, 98	dcs:106259	0.5	overlap	public	DCS	name of a potherb; saffron; the filament of a lotus; gold; orpiment; white musta	confidence<tau
gOra		5d	gaura	Rājanighaṇṭu, RājNigh, 12, 39	dcs:22191	0.5	overlap	public	DCS	name of a potherb; saffron; the filament of a lotus; gold; orpiment; white musta	confidence<tau
gOra		5d	gaura	Rājanighaṇṭu, RājNigh, 13, 64	dcs:22572	0.5	overlap	public	DCS	name of a potherb; saffron; the filament of a lotus; gold; orpiment; white musta	confidence<tau
gOra		?	gaura	lemma:125519		0.0	unassigned	public	DCS	white; yellowish; reddish; shining; clean; beautiful	no locus/overlap candidate — residue for LLM/human pass
piNgala		?	piṅgala	lemma:94692		0.0	unassigned	public	DCS	reddish-brown; tawny; yellow; gold	no locus/overlap candidate — residue for LLM/human pass
piNgala		?	piṅgala	lemma:94695		0.0	unassigned	public	DCS	a particular metal; yellow orpiment	no locus/overlap candidate — residue for LLM/human pass
piRqa		8	piṇḍa	Vaikhānasadharmasūtra, VaikhDhS, 2, 14, 1	dcs:100198	0.5	overlap	public	DCS	any round or roundish mass or heap; a ball; globe; knob; button; clod; lump; pie	confidence<tau
piRqa		8	piṇḍa	Vaikhānasadharmasūtra, VaikhDhS, 3, 8, 5	dcs:100321	0.5	overlap	public	DCS	any round or roundish mass or heap; a ball; globe; knob; button; clod; lump; pie	confidence<tau
piRqa		8	piṇḍa	Rasādhyāya, RAdhy, 1, 70	dcs:100548	0.5	overlap	public	DCS	any round or roundish mass or heap; a ball; globe; knob; button; clod; lump; pie	confidence<tau
antara		?	antara	lemma:11865		0.0	unassigned	public	DCS	being in the interior; interior; near; proximate; related; intimate; lying adjac	no locus/overlap candidate — residue for LLM/human pass
karaRa	2	?	karaṇa	lemma:2376		0.0	unassigned	public	DCS	clever; skilful; making; causing	no locus/overlap candidate — residue for LLM/human pass
karaRa	2	?	karaṇa	lemma:2377		0.0	unassigned	public	DCS	helper; companion; man of a mixed class; writer; scribe; a sound or word as an i	no locus/overlap candidate — residue for LLM/human pass
tAla		?	tāla	lemma:97487		0.0	unassigned	public	DCS	[min.] orpiment; name of a hell; [min.] a kind of tīkṣṇaloha	no locus/overlap candidate — residue for LLM/human pass
candra		2g	candra	Rājanighaṇṭu, RājNigh, 13, 10	dcs:22461	0.5	overlap	public	DCS	gold; a kind of sour rice-gruel; name of a Sāman	confidence<tau
candra		2g	candra	Ānandakanda, ĀK, 1, 19, 69	dcs:399964	0.5	overlap	public	DCS	gold; a kind of sour rice-gruel; name of a Sāman	confidence<tau
candra		2g	candra	Śatapathabrāhmaṇa, ŚBM, 3, 3, 3, 7	dcs:494287	0.5	overlap	public	DCS	gold; a kind of sour rice-gruel; name of a Sāman	confidence<tau
plava		?	plava	lemma:154038		0.0	unassigned	public	DCS	swimming; floating; sloping towards; inclined (in astrol. applied to a constella	no locus/overlap candidate — residue for LLM/human pass
