rule	category	count	pct	examples
a a → ā	vowel coalescence	74	14.48	rūparasagandhasparśāḥ saṃkhyāḥ parimāṇāni pṛthaktvaṃ saṃyogavibhāgau paratvāparatve buddhayaḥ sukhaduḥkhe icchādveṣau prayatnaś ca guṇāḥ paratva+aparatve→paratvāparatve · dravyāṇi dravyāntaram ārabhante dravya+antaram→dravyāntaram · guṇāś ca guṇāntaram guṇa+antaram→guṇāntaram · kāryāvirodhi dravyaṃ kāraṇāvirodhi ca kārya+avirodhi→kāryāvirodhi
m k → ṃ k	anusvāra / nasal	22	4.31	pṛthivy āpas tejo vāyur ākāśaṃ kālo dig ātmā mana iti dravyāṇi ākāśaṃ+kālo · sad anityaṃ dravyavat kāryaṃ kāraṇaṃ sāmānyaviśeṣavad iti dravyaguṇakarmaṇām aviśeṣaḥ kāryaṃ+kāraṇaṃ · kāryāvirodhi dravyaṃ kāraṇāvirodhi ca dravyaṃ+kāraṇa · ekadravyam aguṇaṃ saṃyogavibhāgeṣv anapekṣaṃ kāraṇam iti karmalakṣaṇam anapekṣaṃ+kāraṇam
t a → d a	consonant / other	18	3.52	sad anityaṃ dravyavat kāryaṃ kāraṇaṃ sāmānyaviśeṣavad iti dravyaguṇakarmaṇām aviśeṣaḥ sad+anityaṃ · tadaliṅgamekadravyavattvātkarmaṇaḥ tat+aliṅgam→tadaliṅgamekadravyavattvātkarmaṇaḥ · saṃyogādabhāvaḥ karmaṇaḥ saṃyogāt+abhāvaḥ→saṃyogādabhāvaḥ · ātmendriyamano'rthasaṃnikarṣād yanniṣpadyate tadanyat tat+anyat→tadanyat
m v → ṃ v	anusvāra / nasal	17	3.33	athāto dharmaṃ vyākhyāsyāmaḥ dharmaṃ+vyākhyāsyāmaḥ · na dravyāṇāṃ vyatirekāt dravyāṇāṃ+vyatirekāt · sāmānyaṃ viśeṣa iti buddhyapekṣam sāmānyaṃ+viśeṣa · etena rasagandhasparśeṣu jñānaṃ vyākhyātam jñānaṃ+vyākhyātam
m s → ṃ s	anusvāra / nasal	17	3.33	rūparasagandhasparśāḥ saṃkhyāḥ parimāṇāni pṛthaktvaṃ saṃyogavibhāgau paratvāparatve buddhayaḥ sukhaduḥkhe icchādveṣau prayatnaś ca guṇāḥ tvam→pṛthaktvaṃ +saṃyoga · sad anityaṃ dravyavat kāryaṃ kāraṇaṃ sāmānyaviśeṣavad iti dravyaguṇakarmaṇām aviśeṣaḥ kāraṇaṃ+sāmānya · ekadravyam aguṇaṃ saṃyogavibhāgeṣv anapekṣaṃ kāraṇam iti karmalakṣaṇam guṇam→aguṇaṃ +saṃyoga · dravyaguṇakarmaṇāṃ dravyaṃ kāraṇaṃ sāmānyam kāraṇaṃ+sāmānyam
ḥ c → ś c	visarga	14	2.74	rūparasagandhasparśāḥ saṃkhyāḥ parimāṇāni pṛthaktvaṃ saṃyogavibhāgau paratvāparatve buddhayaḥ sukhaduḥkhe icchādveṣau prayatnaś ca guṇāḥ prayatnaś+ca · guṇāś ca guṇāntaram guṇāś+ca · dvitvaprabhṛtayaś ca saṃkhyāḥ pṛthaktvaṃ saṃyogavibhāgāś ca prabhṛtayaḥ→dvitvaprabhṛtayaś +ca · dvitvaprabhṛtayaś ca saṃkhyāḥ pṛthaktvaṃ saṃyogavibhāgāś ca vibhāgāḥ→saṃyogavibhāgāś +ca
ḥ i → Ø i	visarga	13	2.54	pṛthivy āpas tejo vāyur ākāśaṃ kālo dig ātmā mana iti dravyāṇi mana+iti · dravyāśrayy aguṇavān saṃyogavibhāgeṣv akāraṇam anapekṣa iti guṇalakṣaṇam anapekṣa+iti · sāmānyaṃ viśeṣa iti buddhyapekṣam viśeṣa+iti · na ca dṛṣṭānāṃ sparśa ityadṛṣṭaliṅgo vāyuḥ sparśa+iti
aḥ v → o v	visarga	12	2.35	pṛthivy āpas tejo vāyur ākāśaṃ kālo dig ātmā mana iti dravyāṇi tejo+vāyur · anyatrāntyebhyo viśeṣebhyaḥ antyebhyaḥ→anyatrāntyebhyo +viśeṣebhyaḥ · na ca dṛṣṭānāṃ sparśa ityadṛṣṭaliṅgo vāyuḥ liṅgaḥ→ityadṛṣṭaliṅgo +vāyuḥ · puṣpavastrayoḥ sati saṃnikarṣe gandhāntarāprādurbhāvo vastre gandhābhāvaliṅgam aprādurbhāvaḥ→gandhāntarāprādurbhāvo +vastre
m n → ṃ n	anusvāra / nasal	12	2.35	karma karmasādhyaṃ na vidyate sādhyam→karmasādhyaṃ +na · asamavāyāt sāmānyaṃ karma kāryaṃ na vidyate kāryaṃ+na · vāyor vāyusaṃmūrcchanaṃ nānātve liṅgam sammūrchanam→vāyusaṃmūrcchanaṃ +nānātve · vāyuriti sati sannikarṣe pratyakṣābhāvād dṛṣṭaṃ liṅgaṃ na vidyate liṅgaṃ+na
m c → ṃ c	anusvāra / nasal	12	2.35	dravyatvaṃ guṇatvaṃ karmatvaṃ ca sāmānyāni viśeṣāś ca tvam→karmatvaṃ +ca · dṛṣṭaṃ ca dṛṣṭavat dṛṣṭaṃ+ca · nodanādādyamiṣoḥ karma karmakāritācca saṃskārāduttaraṃ tathottaram uttaraṃ ca uttaraṃ+ca · apāṃ saṅghāto vilayanaṃ ca tejasaḥ saṃyogāt vilayanaṃ+ca
