adhyaya	verse	gold_form	gold_lemma	gold_pos	dcs_form	dcs_lemma	dcs_upos	class	lemma_match	pos_match	convention	n_gold	n_dcs
1	1.01	dhṛtarāṣṭraḥ	dhṛta-rāṣṭra	nominal	dhṛtarāṣṭraḥ	dhṛtarāṣṭra	nominal	MATCH	yes	yes		1	1
1	1.01	uvāca	√vac	verb	uvāca	vac	verb	MATCH	yes	yes		1	1
1	1.01	dharma-kṣetre	dharma-kṣetra	nominal	dharma|kṣetre	dharma|kṣetra	nominal|nominal	COMPOUND_SPLIT	n/a	n/a		1	2
1	1.01	kuru-kṣetre	kuru-kṣetra	nominal	kurukṣetre	kurukṣetra	nominal	MATCH	yes	yes		1	1
1	1.01	samavetāḥ	sam-aveta	indecl	samavetāḥ	samave	verb	LEMMA+POS_DIVERGE	no	no		1	1
1	1.01	yuyutsavaḥ	yuyutsu	nominal	yuyutsavaḥ	yuyutsu	indecl	POS_DIVERGE	yes	no		1	1
1	1.01	māmakāḥ	māmaka	nominal	māmakāḥ	māmaka	indecl	POS_DIVERGE	yes	no		1	1
1	1.01	pāṇḍavāḥ	pāṇḍava	nominal	pāṇḍavāḥ	pāṇḍava	nominal	MATCH	yes	yes		1	1
1	1.01	ca	ca	indecl	ca	ca	indecl	MATCH	yes	yes		1	1
1	1.01	eva	eva	indecl	eva	eva	indecl	MATCH	yes	yes		1	1
1	1.01	kim	kim	nominal	kim	ka	nominal	LEMMA_CONVENTION	no	yes	pronoun-stem	1	1
1	1.01	akurvata	√kṛ	verb	akurvata	kṛ	verb	MATCH	yes	yes		1	1
1	1.01	saṁjaya	sam-jaya	nominal	saṃjaya	saṃjaya	nominal	LEMMA_CONVENTION	no	yes	nasal-class	1	1
1	1.02	saṁjayaḥ	sam-jaya	unknown	saṃjaya	saṃjaya	nominal	LEMMA_CONVENTION+POS_DIVERGE	no	no	nasal-class	1	1
1	1.02	uvāca	√vac	verb	uvāca	vac	verb	MATCH	yes	yes		1	1
1	1.02	dṛṣṭvā	√dṛś	unknown	dṛṣṭvā	dṛś	verb	POS_DIVERGE	yes	no		1	1
1	1.02	tu	tu	indecl	tu	tu	indecl	MATCH	yes	yes		1	1
1	1.02	pāṇḍavānīkam	pāṇḍava-anīka	nominal	pāṇḍava|anīkam	pāṇḍava|anīka	nominal|nominal	COMPOUND_SPLIT	n/a	n/a		1	2
1	1.02	vyūḍham	vyūḍha	nominal	vyūḍhaṃ	vyūh	verb	LEMMA+POS_DIVERGE	no	no		1	1
