sutra_id	sutra_text_slp1	exemplar_forms	exemplar_loci	texts	mean_chain_position	status	scope_justification
1.1.1	vfdDirAdEc	0	0	0		dark-out-of-scope	never-fires-on-AG-cells: no successful Prakriya history over Cologne-attested cells of AG lemmas includes this code (metarule / adhikāra / Vedic-accent / unimplemented operator relative to vidyut 0.4.0 generator surface)
1.1.2	adeN guRaH	0	0	0		dark-out-of-scope	never-fires-on-AG-cells: no successful Prakriya history over Cologne-attested cells of AG lemmas includes this code (metarule / adhikāra / Vedic-accent / unimplemented operator relative to vidyut 0.4.0 generator surface)
1.1.3	iko guRavfdDI	0	0	0		dark-out-of-scope	never-fires-on-AG-cells: no successful Prakriya history over Cologne-attested cells of AG lemmas includes this code (metarule / adhikāra / Vedic-accent / unimplemented operator relative to vidyut 0.4.0 generator surface)
1.1.4	na DAtulopa ArDaDAtuke	0	0	0		dark-out-of-scope	never-fires-on-AG-cells: no successful Prakriya history over Cologne-attested cells of AG lemmas includes this code (metarule / adhikāra / Vedic-accent / unimplemented operator relative to vidyut 0.4.0 generator surface)
1.1.5	kNiti ca	629	625	116	21.531	lit	matched-ok-chain: appears in paninian_concordance.tsv (W2a ok form × Ashtadhyayi step)
1.1.6	dIDIvevIwAm	0	0	0		dark-out-of-scope	never-fires-on-AG-cells: no successful Prakriya history over Cologne-attested cells of AG lemmas includes this code (metarule / adhikāra / Vedic-accent / unimplemented operator relative to vidyut 0.4.0 generator surface)
1.1.7	halo'nantarAH saMyogaH	0	0	0		dark-out-of-scope	never-fires-on-AG-cells: no successful Prakriya history over Cologne-attested cells of AG lemmas includes this code (metarule / adhikāra / Vedic-accent / unimplemented operator relative to vidyut 0.4.0 generator surface)
1.1.8	muKanAsikAvacano'nunAsikaH	0	0	0		dark-out-of-scope	never-fires-on-AG-cells: no successful Prakriya history over Cologne-attested cells of AG lemmas includes this code (metarule / adhikāra / Vedic-accent / unimplemented operator relative to vidyut 0.4.0 generator surface)
1.1.9	tulyAsyaprayatnaM savarRam	0	0	0		dark-out-of-scope	never-fires-on-AG-cells: no successful Prakriya history over Cologne-attested cells of AG lemmas includes this code (metarule / adhikāra / Vedic-accent / unimplemented operator relative to vidyut 0.4.0 generator surface)
1.1.10	nAjJalO	0	0	0		dark-out-of-scope	never-fires-on-AG-cells: no successful Prakriya history over Cologne-attested cells of AG lemmas includes this code (metarule / adhikāra / Vedic-accent / unimplemented operator relative to vidyut 0.4.0 generator surface)
1.1.11	IdUdeddvivacanaM pragfhyam	0	0	0		dark-out-of-scope	never-fires-on-AG-cells: no successful Prakriya history over Cologne-attested cells of AG lemmas includes this code (metarule / adhikāra / Vedic-accent / unimplemented operator relative to vidyut 0.4.0 generator surface)
1.1.12	adaso mAt	0	0	0		dark-out-of-scope	never-fires-on-AG-cells: no successful Prakriya history over Cologne-attested cells of AG lemmas includes this code (metarule / adhikāra / Vedic-accent / unimplemented operator relative to vidyut 0.4.0 generator surface)
1.1.13	Se	0	0	0		dark-out-of-scope	never-fires-on-AG-cells: no successful Prakriya history over Cologne-attested cells of AG lemmas includes this code (metarule / adhikāra / Vedic-accent / unimplemented operator relative to vidyut 0.4.0 generator surface)
1.1.14	nipAta ekAjanAN	0	0	0		dark-out-of-scope	never-fires-on-AG-cells: no successful Prakriya history over Cologne-attested cells of AG lemmas includes this code (metarule / adhikāra / Vedic-accent / unimplemented operator relative to vidyut 0.4.0 generator surface)
1.1.15	ot	0	0	0		dark-out-of-scope	never-fires-on-AG-cells: no successful Prakriya history over Cologne-attested cells of AG lemmas includes this code (metarule / adhikāra / Vedic-accent / unimplemented operator relative to vidyut 0.4.0 generator surface)
1.1.16	sambudDO SAkalyasyetAvanArze	0	0	0		dark-out-of-scope	never-fires-on-AG-cells: no successful Prakriya history over Cologne-attested cells of AG lemmas includes this code (metarule / adhikāra / Vedic-accent / unimplemented operator relative to vidyut 0.4.0 generator surface)
1.1.17	uYaH	0	0	0		dark-out-of-scope	never-fires-on-AG-cells: no successful Prakriya history over Cologne-attested cells of AG lemmas includes this code (metarule / adhikāra / Vedic-accent / unimplemented operator relative to vidyut 0.4.0 generator surface)
