rule	category	count	pct	examples
a a → ā	vowel coalescence	760	8.63	jyotiścakrākṣadaṇḍastribhuvanavijayastambhadaṇḍo 'ṅghridaṇḍaḥ śreyastraivikramaste vitaratu vibudhadveṣiṇāṃ kāladaṇḍaḥ jyotiścakra+akṣa→jyotiścakrākṣadaṇḍastribhuvanavijayastambhadaṇḍo · tatra vīrabhaṭapaṭalottaraṅgaturaṅgakuñjaramakarabhīṣaṇasakalaripugaṇakaṭakajalanidhimathanamandarāyamāṇasamuddaṇḍabhujadaṇḍaḥ purandarapurāṅgaṇavanaviharaṇaparāyaṇataruṇagaṇikāgaṇajegīyamānayātimānayā śaradindukundaghanasāranīhārahāramṛṇālamarālasuragajanīrakṣīragiriśāṭṭahāsakailāsakāśanīkāśamūrtyā racitadigantarālapūrtyā kīrtyābhitaḥ surabhitaḥ svarlokaśikharoruruciraratnaratnākaravelāmekhalāyitadharaṇīramaṇīsaubhāgyabhogabhāgyavān anavaratayāgadakṣiṇārakṣitaśiṣṭaviśiṣṭavidyāsambhārabhāsurabhūsuranikaraḥ viracitārātisaṃtāpena pratāpena satatatulitaviyanmadhyahaṃsaḥ rājahaṃso nāma ghanadarpakandarpasaundaryasodaryahṛdyaniravadyarūpo bhūpo babhūva viracita+arāti→viracitārātisaṃtāpena · roṣarūkṣeṇa niṭilākṣeṇa bhasmīkṛtacetane makaraketane tadā bhayenānavadyā vaniteti matvā tasya rolambāvalī keśajālam premākaro rajanīkaro vijitāravindavadanam jayadhvajāyamāno mīno jāyāyuto 'kṣiyugalam sakalasainikāṅgavīro malayasamīro niḥśvāsaḥ pathikahṛddalanakaravālaḥ pravālaścādhārabimbam jayaśaṅkho bandhurā lāvaṇyadharā kandharā pūrṇakumbhau cakravākānukārau payodharau jyāyamāne mārdavāsamāne bisalate ca bāhū īṣadutphullalīlāvataṃsakahlārakorakau gaṅgāvartasanābhir nābhiḥ dūrīkṛtayogimanoratho jaitraratho 'tighanaṃ jaghanam jayastambhabhūte saundaryabhūte vighnitayatijanārambhe rambhe coruyugam ātapatrasahasrapatraṃ pādadvayam astrabhūtāni prasūnāni tānītarāṇyaṅgāni ca samabhūvanniva bhayena+anavadyā→bhayenānavadyā · roṣarūkṣeṇa niṭilākṣeṇa bhasmīkṛtacetane makaraketane tadā bhayenānavadyā vaniteti matvā tasya rolambāvalī keśajālam premākaro rajanīkaro vijitāravindavadanam jayadhvajāyamāno mīno jāyāyuto 'kṣiyugalam sakalasainikāṅgavīro malayasamīro niḥśvāsaḥ pathikahṛddalanakaravālaḥ pravālaścādhārabimbam jayaśaṅkho bandhurā lāvaṇyadharā kandharā pūrṇakumbhau cakravākānukārau payodharau jyāyamāne mārdavāsamāne bisalate ca bāhū īṣadutphullalīlāvataṃsakahlārakorakau gaṅgāvartasanābhir nābhiḥ dūrīkṛtayogimanoratho jaitraratho 'tighanaṃ jaghanam jayastambhabhūte saundaryabhūte vighnitayatijanārambhe rambhe coruyugam ātapatrasahasrapatraṃ pādadvayam astrabhūtāni prasūnāni tānītarāṇyaṅgāni ca samabhūvanniva vijita+aravinda→vijitāravindavadanam
m c → ṃ c	anusvāra / nasal	297	3.37	vasumatī tu tebhyo nikhilasainyakṣatiṃ rājño 'dṛśyatvaṃ cākarṇyodvignā śokasāgaramagnā ramaṇānugamane matiṃ vyadhatta tvam→'dṛśyatvaṃ +ca · ahamapi bhavanmitrasya videhanāthasya vipannimittaṃ viṣādam anubhavaṃstadanvayāṅkuraṃ kumāram anviṣyaṃstadaikaṃ caṇḍikāmandiraṃ sundaraṃ prāgām ekam→anviṣyaṃstadaikaṃ +caṇḍikā · tataḥ sakalalipijñānaṃ nikhiladeśīyabhāṣāpāṇḍityaṣaḍaṅgasahitavedasamudāyakovidatvaṃ kāvyanāṭakākhyānakākhyāyiketihāsacitrakathāsahitapurāṇagaṇanaipuṇyaṃ dharmaśabdajyotistarkamīmāṃsādisamastaśāstranikaracāturyaṃ kauṭilyakāmandakīyādinītipaṭalakauśalaṃ vīṇādyaśeṣavādyadākṣyaṃ saṃgītasāhityahāritvaṃ maṇimantrauṣadhādimāyāprapañcacuñcutvaṃ mātaṅgaturaṅgādivāhanārohaṇapāṭavaṃ vividhāyudhaprayogacaṇatvaṃ cauryadurodarādikapaṭakalāprauḍhatvaṃ ca tattadācāryebhyaḥ samyaglabdhvā yauvanena vilasantaṃ kumāranikaraṃ nirīkṣya mahīvallabhaḥ saḥ 'haṃ śatrujanadurlabhaḥ iti paramānandamamandamavindata tvam→vividhāyudhaprayogacaṇatvaṃ +caurya · tataḥ sakalalipijñānaṃ nikhiladeśīyabhāṣāpāṇḍityaṣaḍaṅgasahitavedasamudāyakovidatvaṃ kāvyanāṭakākhyānakākhyāyiketihāsacitrakathāsahitapurāṇagaṇanaipuṇyaṃ dharmaśabdajyotistarkamīmāṃsādisamastaśāstranikaracāturyaṃ kauṭilyakāmandakīyādinītipaṭalakauśalaṃ vīṇādyaśeṣavādyadākṣyaṃ saṃgītasāhityahāritvaṃ maṇimantrauṣadhādimāyāprapañcacuñcutvaṃ mātaṅgaturaṅgādivāhanārohaṇapāṭavaṃ vividhāyudhaprayogacaṇatvaṃ cauryadurodarādikapaṭakalāprauḍhatvaṃ ca tattadācāryebhyaḥ samyaglabdhvā yauvanena vilasantaṃ kumāranikaraṃ nirīkṣya mahīvallabhaḥ saḥ 'haṃ śatrujanadurlabhaḥ iti paramānandamamandamavindata tvam→cauryadurodarādikapaṭakalāprauḍhatvaṃ +ca
m s → ṃ s	anusvāra / nasal	248	2.82	teṣāṃ sitavarmaṇaḥ sumatisatyavarmāṇau dharmapālasya sumantrasumitrakāmapālāḥ padmodbhavasya suśrutaratnodbhavāviti tanayāḥ samabhūvan teṣāṃ+sitavarmaṇaḥ · tataḥ kadācin nānāvidhamahadāyudhanaipuṇyaracitāgaṇyajanyarājanyamaulipālinihitaniśitasāyako magadhanāyako mālaveśvaraṃ pratyagrasaṅgrāmaghasmaraṃ samutkaṭamānasāraṃ mānasāraṃ prati sahelaṃ nyakkṛtajaladhinirghoṣāhaṅkāreṇa bherījhaṅkāreṇa haṭhikākarṇanākrāntabhayacaṇḍimānaṃ digdantāvalavalayaṃ vighūrṇannijabharanamanmedinībhareṇākrāntabhujagarājamastakabalena caturaṅgabalena saṃyutaḥ saṅgrāmābhilāṣeṇa roṣeṇa mahatāviṣṭo niryayau ghasmaram→pratyagrasaṅgrāmaghasmaraṃ +samutkaṭa · tataḥ sa ratnākaramekhalām ilām ananyaśāsanāṃ śāsad anapatyatayā nārāyaṇaṃ sakalalokaikakāraṇaṃ nirantaramarcayāmāsa nārāyaṇaṃ+sakala · rājāpi sampannyakkṛtākhaṇḍalaḥ suhṛnnṛpamaṇḍalaṃ samāhūya nijasampanmanorathānurūpaṃ devyāḥ sīmantotsavaṃ vyadhatta maṇḍalam→suhṛnnṛpamaṇḍalaṃ +samāhūya
m p → ṃ p	anusvāra / nasal	241	2.74	roṣarūkṣeṇa niṭilākṣeṇa bhasmīkṛtacetane makaraketane tadā bhayenānavadyā vaniteti matvā tasya rolambāvalī keśajālam premākaro rajanīkaro vijitāravindavadanam jayadhvajāyamāno mīno jāyāyuto 'kṣiyugalam sakalasainikāṅgavīro malayasamīro niḥśvāsaḥ pathikahṛddalanakaravālaḥ pravālaścādhārabimbam jayaśaṅkho bandhurā lāvaṇyadharā kandharā pūrṇakumbhau cakravākānukārau payodharau jyāyamāne mārdavāsamāne bisalate ca bāhū īṣadutphullalīlāvataṃsakahlārakorakau gaṅgāvartasanābhir nābhiḥ dūrīkṛtayogimanoratho jaitraratho 'tighanaṃ jaghanam jayastambhabhūte saundaryabhūte vighnitayatijanārambhe rambhe coruyugam ātapatrasahasrapatraṃ pādadvayam astrabhūtāni prasūnāni tānītarāṇyaṅgāni ca samabhūvanniva pattram→ātapatrasahasrapatraṃ +pāda · tataḥ kadācin nānāvidhamahadāyudhanaipuṇyaracitāgaṇyajanyarājanyamaulipālinihitaniśitasāyako magadhanāyako mālaveśvaraṃ pratyagrasaṅgrāmaghasmaraṃ samutkaṭamānasāraṃ mānasāraṃ prati sahelaṃ nyakkṛtajaladhinirghoṣāhaṅkāreṇa bherījhaṅkāreṇa haṭhikākarṇanākrāntabhayacaṇḍimānaṃ digdantāvalavalayaṃ vighūrṇannijabharanamanmedinībhareṇākrāntabhujagarājamastakabalena caturaṅgabalena saṃyutaḥ saṅgrāmābhilāṣeṇa roṣeṇa mahatāviṣṭo niryayau mānasāraṃ+prati · tataḥ kadācin nānāvidhamahadāyudhanaipuṇyaracitāgaṇyajanyarājanyamaulipālinihitaniśitasāyako magadhanāyako mālaveśvaraṃ pratyagrasaṅgrāmaghasmaraṃ samutkaṭamānasāraṃ mānasāraṃ prati sahelaṃ nyakkṛtajaladhinirghoṣāhaṅkāreṇa bherījhaṅkāreṇa haṭhikākarṇanākrāntabhayacaṇḍimānaṃ digdantāvalavalayaṃ vighūrṇannijabharanamanmedinībhareṇākrāntabhujagarājamastakabalena caturaṅgabalena saṃyutaḥ saṅgrāmābhilāṣeṇa roṣeṇa mahatāviṣṭo niryayau īśvaram→mālaveśvaraṃ +pratyagra · tenābhāṣi bhūbhramaṇabalinā prāñjalinā deva śirasi devasyājñāmādāyainaṃ nirdoṣaṃ veṣaṃ svīkṛtya mālavendranagaraṃ praviśya tatra gūḍhataraṃ vartamānastasya rājñaḥ samastamudantajātaṃ viditvā pratyāgamam nagaram→mālavendranagaraṃ +praviśya
m v → ṃ v	anusvāra / nasal	229	2.6	tataḥ kadācin nānāvidhamahadāyudhanaipuṇyaracitāgaṇyajanyarājanyamaulipālinihitaniśitasāyako magadhanāyako mālaveśvaraṃ pratyagrasaṅgrāmaghasmaraṃ samutkaṭamānasāraṃ mānasāraṃ prati sahelaṃ nyakkṛtajaladhinirghoṣāhaṅkāreṇa bherījhaṅkāreṇa haṭhikākarṇanākrāntabhayacaṇḍimānaṃ digdantāvalavalayaṃ vighūrṇannijabharanamanmedinībhareṇākrāntabhujagarājamastakabalena caturaṅgabalena saṃyutaḥ saṅgrāmābhilāṣeṇa roṣeṇa mahatāviṣṭo niryayau valayam→digdantāvalavalayaṃ +vighūrṇat · rājāpi sampannyakkṛtākhaṇḍalaḥ suhṛnnṛpamaṇḍalaṃ samāhūya nijasampanmanorathānurūpaṃ devyāḥ sīmantotsavaṃ vyadhatta utsavam→sīmantotsavaṃ +vyadhatta · bhūpatir āyāntaṃ taṃ vilokya samyagjñātatadīyagūḍhacārabhāvo nikhilamanucaranikaraṃ visṛjya mantrijanasametaḥ praṇatamenaṃ mandahāsamabhāṣata nanu tāpasa deśaṃ sāpadeśaṃ bhramanbhavāṃstatra tatra bhavadabhijñātaṃ kathayatu iti taṃ+vilokya · bhūpatir āyāntaṃ taṃ vilokya samyagjñātatadīyagūḍhacārabhāvo nikhilamanucaranikaraṃ visṛjya mantrijanasametaḥ praṇatamenaṃ mandahāsamabhāṣata nanu tāpasa deśaṃ sāpadeśaṃ bhramanbhavāṃstatra tatra bhavadabhijñātaṃ kathayatu iti nikaram→nikhilamanucaranikaraṃ +visṛjya
a ā → ā	vowel coalescence	229	2.6	tataḥ sa ratnākaramekhalām ilām ananyaśāsanāṃ śāsad anapatyatayā nārāyaṇaṃ sakalalokaikakāraṇaṃ nirantaramarcayāmāsa ratna+ākara→ratnākaramekhalām · tenābhāṣi bhūbhramaṇabalinā prāñjalinā deva śirasi devasyājñāmādāyainaṃ nirdoṣaṃ veṣaṃ svīkṛtya mālavendranagaraṃ praviśya tatra gūḍhataraṃ vartamānastasya rājñaḥ samastamudantajātaṃ viditvā pratyāgamam devasya+ājñām→devasyājñāmādāyainaṃ · parasparabaddhavairayoretayoḥ śūrayostadā tadālokanakutūhalāgatagaganacarāścaryakāraṇe raṇe vartamāne jayākāṅkṣī mālavadeśarakṣī vividhāyudhasthairyacaryāñcitasamaratulitāmareśvarasya magadheśvarasya tasyopari purā purārātidattāṃ gadāṃ prāhiṇot jaya+ākāṅkṣī→jayākāṅkṣī · parasparabaddhavairayoretayoḥ śūrayostadā tadālokanakutūhalāgatagaganacarāścaryakāraṇe raṇe vartamāne jayākāṅkṣī mālavadeśarakṣī vividhāyudhasthairyacaryāñcitasamaratulitāmareśvarasya magadheśvarasya tasyopari purā purārātidattāṃ gadāṃ prāhiṇot vividha+āyudha→vividhāyudhasthairyacaryāñcitasamaratulitāmareśvarasya
m k → ṃ k	anusvāra / nasal	220	2.5	jyotiścakrākṣadaṇḍastribhuvanavijayastambhadaṇḍo 'ṅghridaṇḍaḥ śreyastraivikramaste vitaratu vibudhadveṣiṇāṃ kāladaṇḍaḥ dveṣiṇām→vibudhadveṣiṇāṃ +kāladaṇḍaḥ · bhūpatir āyāntaṃ taṃ vilokya samyagjñātatadīyagūḍhacārabhāvo nikhilamanucaranikaraṃ visṛjya mantrijanasametaḥ praṇatamenaṃ mandahāsamabhāṣata nanu tāpasa deśaṃ sāpadeśaṃ bhramanbhavāṃstatra tatra bhavadabhijñātaṃ kathayatu iti abhijñātam→bhavadabhijñātaṃ +kathayatu · mānī mānasāraḥ svasainikāyuṣmattāntarāye samparāye bhavataḥ parājayamanubhūya vailakṣyalakṣyahṛdayo vītadayo mahākālanivāsinaṃ kālīvilāsinamanaśvaraṃ maheśvaraṃ samārādhya tapaḥprabhāvasaṃtuṣṭād asmād ekavīrārātighnīṃ bhayadāṃ gadāṃ labdhvātmānam apratibhaṭaṃ manyamāno mahābhimāno bhavantam abhiyoktum udyuṅkte nivāsinam→mahākālanivāsinaṃ +kālīvilāsinam · tadā tadākarṇya mantriṇo bhūmahendraṃ magadhendraṃ kathaṃcid anunīya ripubhir asādhye vindhyāṭavīmadhye 'varodhānmūlabalarakṣitānniveśayāmāsuḥ indram→magadhendraṃ +kathaṃcid
ā a → ā	vowel coalescence	211	2.4	tatra vīrabhaṭapaṭalottaraṅgaturaṅgakuñjaramakarabhīṣaṇasakalaripugaṇakaṭakajalanidhimathanamandarāyamāṇasamuddaṇḍabhujadaṇḍaḥ purandarapurāṅgaṇavanaviharaṇaparāyaṇataruṇagaṇikāgaṇajegīyamānayātimānayā śaradindukundaghanasāranīhārahāramṛṇālamarālasuragajanīrakṣīragiriśāṭṭahāsakailāsakāśanīkāśamūrtyā racitadigantarālapūrtyā kīrtyābhitaḥ surabhitaḥ svarlokaśikharoruruciraratnaratnākaravelāmekhalāyitadharaṇīramaṇīsaubhāgyabhogabhāgyavān anavaratayāgadakṣiṇārakṣitaśiṣṭaviśiṣṭavidyāsambhārabhāsurabhūsuranikaraḥ viracitārātisaṃtāpena pratāpena satatatulitaviyanmadhyahaṃsaḥ rājahaṃso nāma ghanadarpakandarpasaundaryasodaryahṛdyaniravadyarūpo bhūpo babhūva kīrtyā+abhitas→kīrtyābhitaḥ · vijitāmarapure puṣpapure nivasatā sānantabhogalālitā vasumatī vasumatīva magadharājena yathāsukham anvabhāvi sā+ananta→sānantabhogalālitā · rājāpi sampannyakkṛtākhaṇḍalaḥ suhṛnnṛpamaṇḍalaṃ samāhūya nijasampanmanorathānurūpaṃ devyāḥ sīmantotsavaṃ vyadhatta rājā+api→rājāpi · tato vītapragrahā akṣatavigrahā vāhā rathamādāya daivagatyāntaḥpuraśaraṇyaṃ mahāraṇyaṃ prāviśan daivagatyā+antaḥpura→daivagatyāntaḥpuraśaraṇyaṃ
m m → ṃ m	anusvāra / nasal	206	2.34	tataḥ kadācin nānāvidhamahadāyudhanaipuṇyaracitāgaṇyajanyarājanyamaulipālinihitaniśitasāyako magadhanāyako mālaveśvaraṃ pratyagrasaṅgrāmaghasmaraṃ samutkaṭamānasāraṃ mānasāraṃ prati sahelaṃ nyakkṛtajaladhinirghoṣāhaṅkāreṇa bherījhaṅkāreṇa haṭhikākarṇanākrāntabhayacaṇḍimānaṃ digdantāvalavalayaṃ vighūrṇannijabharanamanmedinībhareṇākrāntabhujagarājamastakabalena caturaṅgabalena saṃyutaḥ saṅgrāmābhilāṣeṇa roṣeṇa mahatāviṣṭo niryayau sāram→samutkaṭamānasāraṃ +mānasāraṃ · tatra magadharājaḥ prakṣīṇasakalasainyamaṇḍalaṃ mālavarājaṃ jīvagrāhamabhigṛhya kṛpālutayā punarapi svarājye pratiṣṭhāpayāmāsa maṇḍalam→prakṣīṇasakalasainyamaṇḍalaṃ +mālava · bhūpatir āyāntaṃ taṃ vilokya samyagjñātatadīyagūḍhacārabhāvo nikhilamanucaranikaraṃ visṛjya mantrijanasametaḥ praṇatamenaṃ mandahāsamabhāṣata nanu tāpasa deśaṃ sāpadeśaṃ bhramanbhavāṃstatra tatra bhavadabhijñātaṃ kathayatu iti enam→praṇatamenaṃ +manda · mānī mānasāraḥ svasainikāyuṣmattāntarāye samparāye bhavataḥ parājayamanubhūya vailakṣyalakṣyahṛdayo vītadayo mahākālanivāsinaṃ kālīvilāsinamanaśvaraṃ maheśvaraṃ samārādhya tapaḥprabhāvasaṃtuṣṭād asmād ekavīrārātighnīṃ bhayadāṃ gadāṃ labdhvātmānam apratibhaṭaṃ manyamāno mahābhimāno bhavantam abhiyoktum udyuṅkte apratibhaṭaṃ+manyamāno
m n → ṃ n	anusvāra / nasal	202	2.29	tataḥ kadācin nānāvidhamahadāyudhanaipuṇyaracitāgaṇyajanyarājanyamaulipālinihitaniśitasāyako magadhanāyako mālaveśvaraṃ pratyagrasaṅgrāmaghasmaraṃ samutkaṭamānasāraṃ mānasāraṃ prati sahelaṃ nyakkṛtajaladhinirghoṣāhaṅkāreṇa bherījhaṅkāreṇa haṭhikākarṇanākrāntabhayacaṇḍimānaṃ digdantāvalavalayaṃ vighūrṇannijabharanamanmedinībhareṇākrāntabhujagarājamastakabalena caturaṅgabalena saṃyutaḥ saṅgrāmābhilāṣeṇa roṣeṇa mahatāviṣṭo niryayau helam→sahelaṃ +nyakkṛta · tataḥ sa ratnākaramekhalām ilām ananyaśāsanāṃ śāsad anapatyatayā nārāyaṇaṃ sakalalokaikakāraṇaṃ nirantaramarcayāmāsa kāraṇam→sakalalokaikakāraṇaṃ +nirantaram · tenābhāṣi bhūbhramaṇabalinā prāñjalinā deva śirasi devasyājñāmādāyainaṃ nirdoṣaṃ veṣaṃ svīkṛtya mālavendranagaraṃ praviśya tatra gūḍhataraṃ vartamānastasya rājñaḥ samastamudantajātaṃ viditvā pratyāgamam enam→devasyājñāmādāyainaṃ +nirdoṣaṃ · niśitaśaranikaraśakalīkṛtāpi sā paśupatiśāsanasyāvandhyatayā sūtaṃ nihatya rathasthaṃ rājānaṃ mūrchitamakārṣīt sūtaṃ+nihatya
