pack	locus	dcs	syllables	metre	metre_type	method	confidence	text
hitopadesa-0	Hitopadeśa, Hitop, 0, 1.1	dcs:351257	16	anuṣṭubh	jati	syllable-heuristic	medium	siddhiḥ sādhye satām astu prasādāt tasya dhūrjaṭeḥ
hitopadesa-0	Hitopadeśa, Hitop, 0, 1.2	dcs:351258	16	anuṣṭubh	jati	syllable-heuristic	medium	jāhnavīphenalekheva yanmūrdhni śaśinaḥ kalā
hitopadesa-0	Hitopadeśa, Hitop, 0, 10.1	dcs:351275	6			unresolved		atha kathāmukham
hitopadesa-0	Hitopadeśa, Hitop, 0, 10.2	dcs:351276	20			unresolved		asti bhāgīrathītīre pāṭaliputranāmadheyaṃ nagaram
hitopadesa-0	Hitopadeśa, Hitop, 0, 10.3	dcs:351277	22			unresolved		tatra sarvasvāmiguṇopetaḥ sudarśano nāma narapatir āsīt
hitopadesa-0	Hitopadeśa, Hitop, 0, 10.4	dcs:351278	21			unresolved		sa bhūpatir ekadā kenāpi pāṭhyamānaṃ ślokadvayaṃ śuśrāva
hitopadesa-0	Hitopadeśa, Hitop, 0, 10.5	dcs:351279	16	anuṣṭubh	jati	syllable-heuristic	medium	anekasaṃśayocchedi parokṣārthasya darśakam
hitopadesa-0	Hitopadeśa, Hitop, 0, 10.6	dcs:351280	16	anuṣṭubh	jati	syllable-heuristic	medium	sarvasya locanaṃ śāstraṃ yasya nāsty andha eva saḥ
hitopadesa-0	Hitopadeśa, Hitop, 0, 11.1	dcs:351281	16	anuṣṭubh	jati	syllable-heuristic	medium	yauvanaṃ dhanasampattiḥ prabhutvam avivekitā
hitopadesa-0	Hitopadeśa, Hitop, 0, 11.2	dcs:351282	16	anuṣṭubh	jati	syllable-heuristic	medium	ekaikam apy anarthāya kim u yatra catuṣṭayam
hitopadesa-0	Hitopadeśa, Hitop, 0, 12.1	dcs:351283	44			unresolved		ity ākarṇyātmanaḥ putrāṇām anadhigataśāstrāṇāṃ nityam unmārg
hitopadesa-0	Hitopadeśa, Hitop, 0, 12.2	dcs:351284	16	anuṣṭubh	jati	syllable-heuristic	medium	ko 'rthaḥ putreṇa jātena yo na vidvān na dhārmikaḥ
hitopadesa-0	Hitopadeśa, Hitop, 0, 12.3	dcs:351285	16	anuṣṭubh	jati	syllable-heuristic	medium	kāṇena cakṣuṣā kiṃ vā cakṣuḥ pīḍaiva kevalam
hitopadesa-0	Hitopadeśa, Hitop, 0, 13.1	dcs:351286	16	anuṣṭubh	jati	syllable-heuristic	medium	ajātamṛtamūrkhāṇāṃ varam ādyau na cāntimaḥ
hitopadesa-0	Hitopadeśa, Hitop, 0, 13.2	dcs:351287	16	anuṣṭubh	jati	syllable-heuristic	medium	sakṛd duḥkhakarāv ādyāv antimas tu pade pade
hitopadesa-0	Hitopadeśa, Hitop, 0, 14.1	dcs:351288	2			unresolved		kiṃ ca
hitopadesa-0	Hitopadeśa, Hitop, 0, 14.2	dcs:351289	34	SiKariRI	vrtta	vidyut-chandas	high	varaṃ garbhasrāvo varam api ca naivābhigamanaṃ varaṃ jātaḥ p
hitopadesa-0	Hitopadeśa, Hitop, 0, 14.3	dcs:351290	34	SiKariRI	vrtta	vidyut-chandas	high	varaṃ vandhyā bhāryā varam api ca garbheṣu vasatir na vāvidv
hitopadesa-0	Hitopadeśa, Hitop, 0, 15.1	dcs:351291	16	anuṣṭubh	jati	syllable-heuristic	medium	sa jāto yena jātena yāti vaṃśaḥ samunnatim
hitopadesa-0	Hitopadeśa, Hitop, 0, 15.2	dcs:351292	16	anuṣṭubh	jati	syllable-heuristic	medium	parivartini saṃsāre mṛtaḥ ko vā na jāyate
hitopadesa-0	Hitopadeśa, Hitop, 0, 16.1	dcs:351293	3			unresolved		anyac ca
hitopadesa-0	Hitopadeśa, Hitop, 0, 16.2	dcs:351294	22			unresolved		guṇigaṇagaṇanārambhe na patati kaṭhinī sasambhramād yasya
hitopadesa-0	Hitopadeśa, Hitop, 0, 16.3	dcs:351295	18			unresolved		tenāmbā yadi sutinī vada vandhyā kīdṛśī bhavati
hitopadesa-0	Hitopadeśa, Hitop, 0, 17.1	dcs:351296	3			unresolved		api ca
hitopadesa-0	Hitopadeśa, Hitop, 0, 17.2	dcs:351297	16	anuṣṭubh	jati	syllable-heuristic	medium	dāne tapasi śaurye ca yasya na prathitaṃ manaḥ
hitopadesa-0	Hitopadeśa, Hitop, 0, 17.3	dcs:351298	16	anuṣṭubh	jati	syllable-heuristic	medium	vidyāyām arthalābhe ca mātur uccāra eva saḥ
hitopadesa-0	Hitopadeśa, Hitop, 0, 18.1	dcs:351299	4			unresolved		aparaṃ ca
hitopadesa-0	Hitopadeśa, Hitop, 0, 18.2	dcs:351300	16	anuṣṭubh	jati	syllable-heuristic	medium	varam eko guṇī putro na ca mūrkhaśatair api
hitopadesa-0	Hitopadeśa, Hitop, 0, 18.3	dcs:351301	17			unresolved		ekaś candramās tamo hanti na ca tārāgaṇair api
hitopadesa-0	Hitopadeśa, Hitop, 0, 19.1	dcs:351302	16	anuṣṭubh	jati	syllable-heuristic	medium	puṇyatīrthe kṛtaṃ yena tapaḥ kvāpy atiduṣkaram
hitopadesa-0	Hitopadeśa, Hitop, 0, 19.2	dcs:351303	16	anuṣṭubh	jati	syllable-heuristic	medium	tasya putro bhaved vaśyaḥ samṛddho dhārmikaḥ sudhīḥ
hitopadesa-0	Hitopadeśa, Hitop, 0, 2.1	dcs:351259	16	anuṣṭubh	jati	syllable-heuristic	medium	śruto hitopadeśo 'yaṃ pāṭavaṃ saṃskṛtoktiṣu
hitopadesa-0	Hitopadeśa, Hitop, 0, 2.2	dcs:351260	16	anuṣṭubh	jati	syllable-heuristic	medium	vācāṃ sarvatra vaicitryaṃ nītividyāṃ dadāti ca
hitopadesa-0	Hitopadeśa, Hitop, 0, 20.1	dcs:351304	4			unresolved		tathā coktam
hitopadesa-0	Hitopadeśa, Hitop, 0, 20.2	dcs:351305	22	AKyAnikI	vrtta	vidyut-chandas	high	arthāgamo nityam arogitā ca priyā ca bhāryā priyavādinī ca
hitopadesa-0	Hitopadeśa, Hitop, 0, 20.3	dcs:351306	22	indravajrA	vrtta	vidyut-chandas	high	vaśyaś ca putro 'rthakarī ca vidyā ṣaḍ jīvalokasya sukhāni r
hitopadesa-0	Hitopadeśa, Hitop, 0, 21.1	dcs:351307	16	anuṣṭubh	jati	syllable-heuristic	medium	ko dhanyo bahubhiḥ putraiḥ kuśūlāpūraṇāḍhakaiḥ
hitopadesa-0	Hitopadeśa, Hitop, 0, 21.2	dcs:351308	16	anuṣṭubh	jati	syllable-heuristic	medium	varam ekaḥ kulālambī yatra viśrūyate pitā
hitopadesa-0	Hitopadeśa, Hitop, 0, 22.1	dcs:351309	16	anuṣṭubh	jati	syllable-heuristic	medium	ṛṇakartā pitā śatrur mātā ca vyabhicāriṇī
hitopadesa-0	Hitopadeśa, Hitop, 0, 22.2	dcs:351310	16	anuṣṭubh	jati	syllable-heuristic	medium	bhāryā rūpavatī śatruḥ putraḥ śatrur apaṇḍitaḥ
hitopadesa-0	Hitopadeśa, Hitop, 0, 23.1	dcs:351311	16	anuṣṭubh	jati	syllable-heuristic	medium	yasya kasya prasūto 'pi guṇavān pūjyate naraḥ
hitopadesa-0	Hitopadeśa, Hitop, 0, 23.2	dcs:351312	16	anuṣṭubh	jati	syllable-heuristic	medium	dhanurvaṃśaviśuddho 'pi nirguṇaḥ kiṃ kariṣyati
hitopadesa-0	Hitopadeśa, Hitop, 0, 24.1	dcs:351313	16	anuṣṭubh	jati	syllable-heuristic	medium	hā hā putraka nādhītaṃ gatāsv etāsu rātriṣu
hitopadesa-0	Hitopadeśa, Hitop, 0, 24.2	dcs:351314	16	anuṣṭubh	jati	syllable-heuristic	medium	tena tvaṃ viduṣāṃ madhye paṅke gaur iva sīdasi
hitopadesa-0	Hitopadeśa, Hitop, 0, 25.1	dcs:351315	21			unresolved		tat katham idānīm ete mama putrā guṇavantaḥ kriyantām yataḥ
hitopadesa-0	Hitopadeśa, Hitop, 0, 25.2	dcs:351316	22			unresolved		āhāranidrābhayamaithunāni sāmānyam etat paśubhir narāṇām
hitopadesa-0	Hitopadeśa, Hitop, 0, 25.3	dcs:351317	22	indravajrA	vrtta	vidyut-chandas	high	jñānaṃ narāṇām adhiko viśeṣo jñānena hīnāḥ paśubhiḥ samānāḥ
hitopadesa-0	Hitopadeśa, Hitop, 0, 26.1	dcs:351318	2			unresolved		yataḥ
hitopadesa-0	Hitopadeśa, Hitop, 0, 26.2	dcs:351319	16	anuṣṭubh	jati	syllable-heuristic	medium	dharmārthakāmamokṣāṇāṃ yasyaiko 'pi na vidyate
hitopadesa-0	Hitopadeśa, Hitop, 0, 26.3	dcs:351320	16	anuṣṭubh	jati	syllable-heuristic	medium	ajāgalastanasyeva tasya janma nirarthakam
hitopadesa-0	Hitopadeśa, Hitop, 0, 27.1	dcs:351321	4			unresolved		yac cocyate
hitopadesa-0	Hitopadeśa, Hitop, 0, 27.2	dcs:351322	16	anuṣṭubh	jati	syllable-heuristic	medium	āyuḥ karma ca vittaṃ ca vidyā nidhanam eva ca
hitopadesa-0	Hitopadeśa, Hitop, 0, 27.3	dcs:351323	16	anuṣṭubh	jati	syllable-heuristic	medium	pañcaitāni hi sṛjyante garbhasthasyaiva dehinaḥ
hitopadesa-0	Hitopadeśa, Hitop, 0, 28.1	dcs:351324	2			unresolved		kiṃ ca
hitopadesa-0	Hitopadeśa, Hitop, 0, 28.2	dcs:351325	16	anuṣṭubh	jati	syllable-heuristic	medium	avaśyaṃ bhāvino bhāvā bhavanti mahatām api
